course_name,course_name_fl,duration_week,end_date,start_date,version,active,status,organisation
Introduction to Learning and Teaching in Higher Education,learning-teaching-university,3,2017-04-03,2017-03-13,1,1,FINISHED,unsw-sydney
Environmental Humanities: Remaking Nature,remaking-nature,6,2016-02-22,2016-01-11,1,1,FINISHED,unsw-sydney
Environmental Humanities: Remaking Nature,remaking-nature,5,2017-02-20,2017-01-16,2,1,FINISHED,unsw-sydney
World War 1: Lessons and Legacy of the Great War,ww1-lessons-legacy,6,2016-10-10,2016-08-29,2,1,FINISHED,unsw-canberra
World War 1: Lessons and Legacy of the Great War,ww1-lessons-legacy,6,2017-03-13,2017-01-30,3,1,FINISHED,unsw-canberra
World War 1: Lessons and Legacy of the Great War,ww1-lessons-legacy,6,2016-03-21,2016-02-08,1,1,FINISHED,unsw-canberra
Introduction to Enhancing Learning and Teaching in Higher Education,enhancing-learning-and-teaching,5,2017-05-22,2017-04-17,1,1,IN PROGRESS,unsw-sydney
Introduction to Educational Design in Higher Education,educational-design,2,2017-04-17,2017-04-03,1,1,FINISHED,unsw-sydney
Disability and a Good Life: Working with Disability,working-with-disability,6,2017-04-03,2017-02-20,2,1,FINISHED,unsw-sydney
Disability and a Good Life: Working with Disability,working-with-disability,6,2016-09-12,2016-08-01,1,1,FINISHED,unsw-sydney
"Through Engineers' Eyes: Engineering Mechanics by Experiment, Analysis and Design",through-engineers-eyes,7,2016-06-06,2016-04-18,1,1,FINISHED,unsw-sydney
"Through Engineers' Eyes: Engineering Mechanics by Experiment, Analysis and Design",through-engineers-eyes,7,2017-06-12,2017-04-24,3,1,IN PROGRESS,unsw-sydney
"Through Engineers' Eyes: Engineering Mechanics by Experiment, Analysis and Design",through-engineers-eyes,7,2016-10-24,2016-09-05,2,1,FINISHED,unsw-sydney
Disability and a Good Life: Thinking through Disability,thinking-through-disability,6,2016-12-05,2016-10-24,2,1,FINISHED,unsw-sydney
Maths for Humans: Linear and Quadratic Relations,maths-linear-quadratic-relations,4,2016-07-25,2016-06-27,1,1,FINISHED,unsw-sydney
Disability and a Good Life: Thinking through Disability,thinking-through-disability,6,2016-06-27,2016-05-16,1,1,FINISHED,unsw-sydney
"Maths for Humans: Linear, Quadratic & Inverse Relations",maths-linear-quadratic,4,2015-11-09,2015-10-12,1,1,FINISHED,unsw-sydney
Re-Enchanting the City: Designing the Human Habitat,re-enchanting-the-city,6,2016-10-17,2016-09-05,2,1,FINISHED,unsw-sydney
Biosecurity and Bioterrorism: Public Health Dimensions,biosecurity-terrorism,4,2017-05-22,2017-04-24,1,1,IN PROGRESS,unsw-sydney
Re-Enchanting the City: Designing the Human Habitat,re-enchanting-the-city,6,2016-06-13,2016-05-02,1,1,FINISHED,unsw-sydney
International Franchise Law: the World is Yours,international-franchise-law,6,2016-10-17,2016-09-05,2,1,FINISHED,unsw-sydney
International Franchise Law: the World is Yours,international-franchise-law,6,2016-05-02,2016-03-21,1,1,FINISHED,unsw-sydney
Myths and Realities of Personalised Medicine: the Genetic Revolution,personalised-medicine,5,2017-04-10,2017-03-06,2,1,FINISHED,unsw-sydney
Myths and Realities of Personalised Medicine: the Genetic Revolution,personalised-medicine,5,2016-10-24,2016-09-19,1,1,FINISHED,unsw-sydney
Maths for Humans: Inverse Relations and Power Laws,maths-power-laws,4,2016-09-19,2016-08-22,1,1,FINISHED,unsw-sydney
Military Ethics: an Introduction,military-ethics,7,2016-04-18,2016-02-29,1,1,FINISHED,unsw-canberra
Military Ethics: an Introduction,military-ethics,7,2017-03-27,2017-02-06,3,1,FINISHED,unsw-canberra
Military Ethics: an Introduction,military-ethics,7,2016-09-19,2016-08-01,2,1,FINISHED,unsw-canberra
