"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Introductory video","Video","01:47",107,"Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/113887","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9757052/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9757052/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.2","Meet the team","Article","","","Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/113889","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p><strong>Welcome from the educator team!</strong></p>
                  
                  <p>Each week of this course will be led by specialists in their field. The overall lead for this course is Associate Professor David Heslop, and other educators are Professor Raina MacIntyre and Dr David Muscatello. The mentor of this course is Dr Mahfuz Ashraf.</p>
                  
                  <p><strong>Associate Professor David Heslop</strong></p>
                  <p>David Heslop is an associate Professor at the School of Public Health and Community Medicine at UNSW, and retains significant military responsibilities as Senior Medical Adviser for CBRNE to Special Operations Headquarters Australia and to Australian Defence Force (ADF) joint senior leadership. He is a practicing vocationally registered General Practitioner, a senior trainee in Occupational and Environmental Medicine with RACP, and a fellowship candidate for the Academy of Wilderness Medicine.&lt;/p&gt;</p>
                  
                  <p><strong>Professor Raina MacIntyre</strong></p>
                  <p>Professor Raina MacIntyre is Head of the School of Public Health and Community Medicine at UNSW, Professor of Infectious Disease Epidemiology and PLuS Alliance Fellow. She runs a highly strategic research program spanning epidemiology, vaccinology, biosecurity, mathematical modelling, public health and clinical trials in infectious diseases.</p>
                  
                  <p><strong>Dr David Muscatello</strong></p>
                  <p>Dr David Muscatello is a Senior Lecturer in infectious diseases epidemiology, at the School of Public Health and Community Medicine at UNSW. He has a PhD in the epidemiology of influenza. He also has many years' experience in government as an epidemiologist specialising in acute disease surveillance using administrative databases, public health intelligence and biostatistics including time series analysis. He played a major surveillance role in the New South Wales government response to pandemic influenza in 2009 and has served on the Australian National Influenza Surveillance Committee.</p>
                  
                  <p><strong>Xin (Jessie) Chen</strong></p>
                  <p>Xin (Jessie) Chen is a PhD student at the School of Public Health and Community Medicine at UNSW, studying advanced analytical methods for complex outbreaks investigation, which will be engaged within an internationally connected NHMRC CRE for epidemic response. She completed the Master of Public Health (specialisation in infectious diseases control) from UNSW and Master of Clinical Medicine (Dermatology &amp; Sexually Transmitted Diseases) from China. Research interests include bioterrorism, outbreak investigation, infectious diseases epidemiology and control.</p>
                  
                  <p><strong>Chau Bui</strong></p>
                  <p>Chau Bui is a veterinarian in her final year of a PhD on avian influenza epidemiology at the School of Public Health and Community Medicine at UNSW. She has a Masters of International Public Health from UNSW and her research interests are in the areas of emerging infectious diseases and spatial models.</p>
                  
                  <p><strong>Please use the comments section below to introduce yourself to the course!</strong></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.3","Course description","Article","","","Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/116529","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p><strong>An introduction to the scientific, policy, ethical and operational aspects of public health and wider responses to high risk biological agent events, epidemics and bioterrorism.</strong></p>
                  
                  <p>The course will run for 4 weeks and it is expected that the materials will take no more than 4 hours of your time including reflection and further reading.</p>
                  
                  <p> In the first week, you will learn about the public health aspects of biosecurity and biosafety, why they are important topics, the key underlying concepts and definitions and what the current situation is relating to high risk biological agents.</p>
                  
                  <p> In the second week, you will learn about epidemics, how they are described, researched and investigated. Key features of epidemics will be discussed, including some important historical examples to assist you with understanding the material.</p>
                  
                  <p> In the third week, you will learn about the importance of health surveillance, health intelligence and important differences between deliberate and accidental epidemic events. A well known historical case of an outbreak in the Soviet Union, and its subsequent investigation and analysis is presented. </p>
                  
                  <p> In the last week, you will learn about how front line response to high risk biological events is conducted. Policy, ethical and governance factors will be outlined that are critical to reducing the risk of biosecurity and bioterrorism events now and into the future.</p>
                  
                  <p>Throughout the course a feature presentation called ""Pandemic"" will assist you in connecting the various components discussed during each week, and highlight some important aspects of biosecurity and bioterrorism events using a fictional scenario.</p>
                  
                  <p><strong>By the end of this course, you should be able to:</strong></p>
                  <ol>
                  <li>Understand the basic principles of infectious disease investigation, epidemiology and public health response.</li>
                  <li>Describe the basic principles of communicable disease response.</li>
                  <li>Recognise the differences between natural versus unnatural patterns of infectious disease.</li>
                  <li>Interpret and analyse health intelligence relating to biosecurity events.</li>
                  <li>Identify the key public health concerns relating to biosecurity and bioterrorism events.</li>
                  <li>Understand basic control measures for responding to biosecurity events.</li>
                  <li>Appreciate the basic policy and ethical concerns relating to contemporary biosecurity.</li>
                  </ol>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.4","Why FutureLearn?","Article","","","Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/116477","[<div class=""a-text-context a-text-context--bold-intro"">
                  <h2><strong>Getting started with FutureLearn</strong></h2>
                  
                  <p>&#160;</p>
                  <p> FutureLearn provides you an online platform to learn by watching videos, reading articles, writing and reviewing assignments and so on. While the course materials might sometimes seem similar with other online platforms, FutureLearn offers a unique and exciting learning method.</p>
                  <p>At FutureLearn you won&#8217;t just find courses about technology and business skills, but you will also find courses about creativity, the humanities, healthcare, politics and plenty more. FutureLearn works with some of the best universities from around the world. </p>
                  <p>If this is your first FutureLearn course, you may find it helpful to browse the <a href=""https://www.futurelearn.com/about/how-it-works"">How it Works</a> and <a href=""https://about.futurelearn.com/about/faq/?category=course-sign-up-and-completion"">FAQ</a> pages before moving on. When you have completed a section, don&#8217;t forget to click on the pink &#8216;Mark as complete&#8217; button at the bottom of the page, so that you can keep track of your progress. You can use any of your gadgets e.g. laptop, tablet, desktop and smartphone to access this course. </p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.5","Pre-course survey","Exercise","","","Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/182932","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Welcome to the course! This pre-course survey is entirely optional, and can be completed whether you start the course late or leave early.</p>
                  
                  <p>Your feedback is valuable to us in improving the course and learning experience for future participants.</p>
                  
                  <p><strong>We are aware that some users of iPads and iPhones are experiencing issues with accessing surveys in the course. We are currently investigating this issue. The surveys should however work on android tablets, laptops or personal computers.</strong></p>
                  
                  <p><strong>If you experience any technical difficulties in accessing the activity, please send us a screen shot, description of your operating system (OS), web browser and steps taken to MOOCs@unsw.edu.au</strong></p>
                  
                  <p>Select the <strong>Launch button</strong> below to begin.</p>
                </div>
                ]"
"1.6","Pandemic chapter 1","Video","02:56",176,"Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/113892","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9757238/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9757238/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.7","Infectious disease agents and how infection occurs","Video","09:27",567,"Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/175160","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9757942/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9757942/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.8","How do infectious diseases move through populations and how do we quantify these population dynamics?","Video","10:03",603,"Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/175161","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9758017/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9758017/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.9","Biosecurity is a complex web","Article","","","Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/116526","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>We are first going to lay the groundwork of what is meant by biosecurity and bioterrorism, and how they are placed within the wider complex web of society, health and security.</p>
                  <p><strong>Biosecurity is, defined most simply, all of the things that we undertake to protect humans and animals from disease and harmful biological agents. They can include human resources, research, procedures, policies, actions, monitoring, health interventions and many other things. Biosecurity is rarely achieved through implementation of a single thing, rather being the combination of efforts of numerous people, organisations, strategies and events.</strong></p>
                  <p>Outbreaks such as pandemics or epidemics are sometimes the result of failures of normal measures for biosecurity without deliberate intent. They may be the result of:</p>
                  <ul>
                  <li>The breakdown in a health systems ability to protect a population against harmful biological agents</li>
                  <li>An accident when dealing with a harmful biological agent or substance, leading to release</li>
                  <li>Errors in the handling of materials contaminated with harmful biological agents, such as waste</li>
                  <li>The natural emergence of a new harmful biological agent in a susceptible population</li>
                  </ul>
                  
                  <p>In practice, the complex interactions of the above factors lead to the emergence of unexpected hazards and opportunities that influence the risk management of biological agents.</p>
                  <p>Understanding the complexity of biosecurity through the conduct of research activities exploring the impact of policy, regulatory and technological solutions to biosecurity has been the primary goal of numerous individuals and organisations globally for a number of decades. The biosecurity concerns raised by epidemics such as the 2014 West African Ebola epidemic, and from climate change, rising global population, resource depletion, political and economic instability have significantly increased recently. </p>
                  <p>Failures of biosecurity can have profound impacts on:</p>
                  <ul><li>Economies</li>
                  <li>Populations</li>
                  <li>Travel</li>
                  <li>Politics</li>
                  <li>Welfare</li>
                  <li>Healthcare</li>
                  <li>Military forces</li>
                  <li>Vulnerable populations (such as refugees and displaced persons)</li>
                  </ul>
                  <p>Recent commentaries and events have highlighted that biosecurity efforts require ongoing support and effort due to the highly varied and unpredictable nature of the next emerging biosecurity threat.</p>
                  
                  <p>After reading this article, discuss the answer to this question in the comments section below:</p>
                  
                  <p><strong>Can you think of any recent biological events that fall within one of the above causes of broad biosecurity events?</strong></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.10","Introduction to bioterrorism and biosecurity","Video","09:32",572,"Week 1","2017-04-24","24 Apr","Week 1: Public health concepts of biosafety and biosecurity","https://www.futurelearn.com/courses/biosecurity-terrorism/1/steps/181958","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9758152/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9758152/download/hd"">HD</a>
                  </div>
                </div>
                ]"
