"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Let's get started!","Video","01:01",61,"Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/157496","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9166436/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9166436/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.2","Expectations of you as a learner","Article","","","Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/105486","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Expectations of you as a learner
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/educational-design/1/steps/105486/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">34 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.3","ePortfolio requirements","Article","","","Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/157504","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p><img srcset=""https://ugc.futurelearn.com/uploads/assets/20/aa/small_hero_20aadb1a-32df-43a3-94c4-325c5614fab1.png 320w, https://ugc.futurelearn.com/uploads/assets/20/aa/hero_20aadb1a-32df-43a3-94c4-325c5614fab1.png 648w, https://ugc.futurelearn.com/uploads/assets/20/aa/large_hero_20aadb1a-32df-43a3-94c4-325c5614fab1.png 729w, https://ugc.futurelearn.com/uploads/assets/20/aa/large_hero_20aadb1a-32df-43a3-94c4-325c5614fab1.png 2x"" sizes=""(min-width: 1695px) 729px, (min-width: 680px) 648px, 320px"" alt=""test"" src=""https://ugc.futurelearn.com/uploads/assets/20/aa/hero_20aadb1a-32df-43a3-94c4-325c5614fab1.png""/></p>
                  
                  <p>In the <a href=""https://www.futurelearn.com/programs/university-learning-and-teaching"">Foundations of Learning and Teaching</a> (FULT) program, you have the option to develop an ePortfolio to support your development as a reflective practitioner, by collecting evidence from the course activities and discussions. A portfolio is a a selection of work (reflection, references, activities) compiled over a period of time and used for assessing performance or progress.</p>
                  
                  <h3 id=""purpose"">Purpose</h3>
                  <p>To help you develop connections between the program and your workplace and to link theory to practice through discussion and analysis of key issues that interest you and your peers. Your portfolio will be used in two ways:</p>
                  
                  <ul>
                    <li>record your general reflections about teaching and learning during the course (not for submission)</li>
                    <li>complete the required portfolio activities drawing on your experiences during the program and copy these into the ePortfolio submission template, <a href=""https://ugc.futurelearn.com/uploads/files/c7/03/c703c62e-92b0-49dc-9a1b-42fdad89f525/Reflective_ePortfolio_summary_template_FINAL.pdf"">PDF Version</a> or <a href=""https://drive.google.com/file/d/0B8J6ocSUIZjSSzdZZzRkaDh3amc/view"">MS WORD</a> version, for submission in the <a href=""https://www.futurelearn.com/programs/university-learning-and-teaching/assessment"">Assessment Course</a>. (<strong>NOTE</strong>: The headings in the PDF template can also be copied into an editable document for you to complete.)</li>
                  </ul>
                  
                  <p><strong>Reflective practice</strong>: documenting your reflections related to your own practice, is for your own personal purposes, not for direct submission. Maintaining a record of your reflections will provide the information you need to write up your final portfolio task.</p>
                  
                  <p><strong>Peer sharing</strong>: although you won&#8217;t be directly required to submit these personal reflections we suggest it would be useful to share them with a peer to gain insight into different perspectives.
                  We have provided a peer review activity at the end of the course for you to share one of your portfolio tasks with your peers.</p>
                  
                  <p><strong>Collecting evidence</strong>: to complete the FULT program you will be asked to submit artefacts from your FULT learning, so it will be useful to collect and keep a copy of these as part of your reflection.</p>
                  
                  <p>These include:</p>
                  
                  <ul>
                    <li>quotes from your reflective writing, or from the posts that have been critical in prompting your thinking;</li>
                    <li>references to readings and research that have influenced you;</li>
                    <li>lesson plans you have developed;</li>
                    <li>mini-evaluations your have undertaken and other forms such as images you have captured or created.</li>
                  </ul>
                  
                  <h3 id=""reflecting-in-your-portfolio"">Reflecting in your portfolio</h3>
                  
                  <p>In writing your reflection you can:</p>
                  
                  <ul>
                    <li>write brief notes or point form phrases</li>
                    <li>observe others and describe what you learn from them</li>
                    <li>listen to what your peers/colleagues have to say about issues that you raise for discussion and use the different perspectives to deepen your personal reflection</li>
                    <li>ask yourself &#8216;what&#8217; &#8216;why&#8217; and &#8216;how&#8217; questions to discover why a situation you experienced or observed could be a valuable stimulus for reflection and learning.</li>
                  </ul>
                  
                  <h3 id=""eportfolio-activities-overall-length-3000-words"">ePortfolio activities (Overall length: 3000 words)</h3>
                  
                  <p>The ePortfolio comprises of eight (8) activities, which are located within the three (3) courses which make up the FULT Program.</p>
                  
                  <p><strong>Summary of ePortfolio activities</strong></p>
                  
                  <table>
                    <thead>
                      <tr>
                        <th>Activity summary</th>
                        <th>Course</th>
                        <th>Week/Step</th>
                      </tr>
                    </thead>
                    <tbody>
                      <tr>
                        <td>1(a) Reflection on deep learning (300 words)</td>
                        <td>Introduction to Learning and Teaching in Higher Education</td>
                        <td>Week 1 Step 1.17</td>
                      </tr>
                      <tr>
                        <td>1(b) Propose a teaching strategy (300 words)</td>
                        <td>Introduction to Learning and Teaching in Higher Education</td>
                        <td>Week 3 Step 3.10</td>
                      </tr>
                      <tr>
                        <td>2(a) Reflection on active blended learning (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.8</td>
                      </tr>
                      <tr>
                        <td>2(b) Lesson plan (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.6</td>
                      </tr>
                      <tr>
                        <td>2(c) Assessment review (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.16</td>
                      </tr>
                      <tr>
                        <td>3(a) Reflection on mini evaluation (300 words)</td>
                        <td>Introduction to Enhancing Learning and Teaching in Higher Education</td>
                        <td>Week 5 Step 5.10</td>
                      </tr>
                      <tr>
                        <td>3(b) Reflection on learnings and strategies (600 words)</td>
                        <td>Introduction to Enhancing Learning and Teaching in Higher Education</td>
                        <td>Week 5 Step 5.10</td>
                      </tr>
                      <tr>
                        <td>4 Meta reflection (300 words)</td>
                        <td>An overall reflection (on your own reflections) for all three course</td>
                        <td>From 22 May via the assessment course</td>
                      </tr>
                    </tbody>
                  </table>
                  
                  <h3 id=""eportfolio-setup-and-submission"">ePortfolio setup and submission</h3>
                  
                  <p>You can find advice on setting up your ePortfolio on this page, <a href=""https://ugc.futurelearn.com/uploads/files/8f/7f/8f7f5346-1f0e-4a04-af4f-5b92f3c63d49/Settingupyourportfolio.pdf"">how to set up an ePortfolio</a> and under &#8216;Downloads&#8217; at the bottom of the page.</p>
                  
                  <p>Please use the <a href=""https://ugc.futurelearn.com/uploads/files/c7/03/c703c62e-92b0-49dc-9a1b-42fdad89f525/Reflective_ePortfolio_summary_template_FINAL.pdf"">template</a> for submitting your ePortfolio. This is also available under &#8216;Downloads&#8217; at the bottom of the page and as a <a href=""https://drive.google.com/file/d/0B8J6ocSUIZjSSzdZZzRkaDh3amc/view"">MS Word DOCX</a> version.</p>
                  
                  <h3 id=""eportfolio-submission-checklist-and-rubric"">ePortfolio submission checklist and rubric</h3>
                  
                  <p>This <a href=""https://ugc.futurelearn.com/uploads/files/68/67/68677128-7caf-4c52-a571-f1185714a426/FULT_ePortfolio_checklist_and_marking_rubric_FINAL.pdf"">rubric</a> will be used to assess your ePortfolio submissions and provide you with qualitative feedback. We encourage you to use the rubric to assess your own work as you develop your ePortfolio. It is also available under &#8216;Downloads&#8217; at the bottom of this step.</p>
                  
                  <h3 id=""submission"">Submission</h3>
                  
                  <p>You will submit your completed ePortfolio for marking and feedback via the <a href=""https://www.futurelearn.com/programs/university-learning-and-teaching/assessment"">FutureLearn Assessment</a> course once you have successfully completed all three (3) courses and purchased <a href=""https://www.futurelearn.com/courses/educational-design/1/purchase/upgraded-access/new"">Certificates of Achievement</a>. Successful completion of the ePortfolio will meet the requirements of the FutureLearn Program Award.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
"1.4","Pre Course Survey","Exercise","","","Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/173118","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Welcome to the course! This Pre Course survey is entirely optional, and can be completed whether you start the course late or leave early.</p>
                  
                  <p>Your feedback is valuable to us in improving the course and learning experience for future participants.</p>
                  
                  <p><strong>If you experience any technical difficulties in accessing the activity, please send us a screen shot, description of your operating system (OS), web browser and steps taken to MOOCs@unsw.edu.au</strong></p>
                  
                  <p>Select the <strong>Launch button</strong> below to begin.</p>
                </div>
                ]"
"1.5","What is Educational Design?","Article","","","Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/105487","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    What is Educational Design?
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/educational-design/1/steps/105487/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">80 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.6","Your learning experience","Discussion","","","Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/161130","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Your learning experience
                    
                  </h1>
                </div>
                ]"
"1.7","Considerations for designing courses","Video","04:10",250,"Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/157506","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9419261/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9419261/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.8","Resolving competing tensions in design","Discussion","","","Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/157507","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>There are many competing demands on educational design, for example, these demands may come from: yourself as the teacher, your students, your discipline, your university or institution, professional bodies, funding bodies and more. How do you resolve competing tensions when designing a course?</p>
                  
                  <p>You could follow these three rules (Angelo, 2012):</p>
                  
                  <p>1) Prioritise a deep approach to learning (refer to Course 1, <a href=""https://www.futurelearn.com/courses/learning-teaching-university/"">Introduction to Learning and Teaching in Higher Education</a>).</p>
                  
                  <p>2) Adopt a scholarly approach to design (that is, &#8216;what research-based, empirical evidence is there to support the way we design curriculum, teach, assess or give feedback?&#8221; (p. 99)</p>
                  
                  <p>3) Design a course that can be taught by one of your successors.</p>
                  
                  <blockquote>
                    <h3 id=""talking-point"">Talking point</h3>
                  
                    <p>Do you agree with the rules established by Angelo? Should there be more rules to help you resolve competing tensions on design work? Post your response.</p>
                  </blockquote>
                  
                  <p><strong>References</strong></p>
                  
                  <p><sub>Angelo, T. (2012). <a href=""https://books.google.com.au/books?id=Wzaz9JwRelcC&amp;pg=PA93&amp;lpg=PA93&amp;dq=Designing+subjects+for+learning:+Practical+research-based+principles+and+guidelines&amp;source=bl&amp;ots=8ibxfBtav_&amp;sig=HCi2x7E3Z7BS80Rwmv3UtjeYhKI&amp;hl=en&amp;sa=X&amp;ved=0ahUKEwjA4uG31ujRAhUFm5QKHYq3C98Q6AEIHzAB#v=onepage&amp;q=Designing%20subjects%20for%20learning%3A%20Practical%20research-based%20principles%20and%20guidelines&amp;f=false"">Designing subjects for learning: Practical research-based principles and guidelines.</a> In L. Hunt and D. Chalmers (Eds). <em>University teaching in focus. A learner-centred approach.</em> Camberwell: ACER, pp.93-111. <sub/></sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
"1.9","Good design: using constructive alignment","Article","","","Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/157508","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In the first course of this program, <a href=""https://www.futurelearn.com/courses/learning-and-teaching/1/"">Introduction to Learning and Teaching in Higher Education</a>, you were introduced to the theory of constructivism.</p>
                  
                  <p>While constructivism is not a specific pedagogy, it may support a specific pedagogical approach to teaching. In this step we introduce you to the concept of constructive alignment as a design model for learning. Constructive alignment is one example of a pedagogical approach based on constructivism. UNSW has adopted this approach, for course and program level design, mapping and review and it also supports the <strong>Integrated Curriculum Framework</strong> (refer to <a href=""https://www.futurelearn.com/courses/educational-design/1/steps/166485"">Step 1.12</a>).</p>
                  
                  <p>Constructive alignment is about defining the learning outcomes and aligning them with teaching and assessment strategies (Biggs, 1999). It will help you select your course content and plan the learning activities. Success can then be measured through assessment of a student&#8217;s achievement of learning outcomes.</p>
                  
                  <p>A good starting point is to ask yourself the question:</p>
                  
                  <p><em>&#8216;What knowledge do I want my students to be able to apply when they have completed my course&#8217;?</em></p>
                  
                  <p>This question will inform your course&#8217;s learning outcomes and assessment tasks. It will also help you determine the appropriate learning activities and resources required to achieve the learning outcomes. The three essential components in your course are the:</p>
                  
                  <ul>
                    <li>learning outcomes</li>
                    <li>learning and teaching activities</li>
                    <li>assessment tasks.</li>
                  </ul>
                  
                  <p><img srcset=""https://ugc.futurelearn.com/uploads/assets/59/bc/small_hero_59bccac6-c125-4973-9580-3aba6f81ac5a.jpg 320w, https://ugc.futurelearn.com/uploads/assets/59/bc/hero_59bccac6-c125-4973-9580-3aba6f81ac5a.jpg 648w, https://ugc.futurelearn.com/uploads/assets/59/bc/large_hero_59bccac6-c125-4973-9580-3aba6f81ac5a.jpg 729w, https://ugc.futurelearn.com/uploads/assets/59/bc/large_hero_59bccac6-c125-4973-9580-3aba6f81ac5a.jpg 2x"" sizes=""(min-width: 1695px) 729px, (min-width: 680px) 648px, 320px"" alt=""Biggs Constructive Alignment"" src=""https://ugc.futurelearn.com/uploads/assets/59/bc/hero_59bccac6-c125-4973-9580-3aba6f81ac5a.jpg""/>
                  <sub>Copyright &#169; UNSW Sydney</sub></p>
                  
                  <h3 id=""constructive-alignment-in-practice"">Constructive alignment in practice</h3>
                  
                  <p>What does constructive alignment mean in practice? When following a model of constructive alignment for designing a course ask yourself these three questions:</p>
                  
                  <p>1) What do I want students to learn?</p>
                  
                  <p>2) What teaching methods and curriculum design will I use to encourage students to behave in ways that are likely to achieve these outcomes?</p>
                  
                  <p>3) What assessment tasks and criteria will tell me that students have achieved the outcomes?</p>
                  
                  <blockquote>
                    <h3 id=""talking-point"">Talking point</h3>
                  
                    <p>View section 4  <a href=""https://www.youtube.com/watch?v=w6rx-GBBwVg"">&#8220;The solution&#8221;</a> of the <strong>&#8220;Teaching Teaching &amp; Understanding Understanding&#8221;</strong> video (0:00- 3:40 minutes).</p>
                  
                    <p>Do you agree, or disagree, that constructive alignment is the solution to good curriculum design? Post you vote with a sentence to justify your position.</p>
                  </blockquote>
                  
                  <h3 id=""want-to-know-more"">Want to know more?</h3>
                  <p>If you would like to more about this topic on using constructive alignment there are additional resources listed in the <a href=""https://ugc.futurelearn.com/uploads/files/f7/d0/f7d01fbc-13c2-4927-90ae-68d465f9f3d0/IED_1_Constructive_Alignment_Want_to_know_more.pdf"">Want to know more.pdf</a> for this step.</p>
                  
                  <p><strong>References</strong></p>
                  
                  <p><sub>Biggs, J. (1999). <a href=""http://www.tandfonline.com/doi/abs/10.1080/0729436990180105"">What the Student Does: teaching for enhanced learning.</a> <em>Higher Education Research &amp; Development . 18</em>, Issue 1.</sub></p>
                  
                  <p><sub>Biggs, J. (2014). <a href=""http://herdsa.org.au/herdsa-review-higher-education-vol-1/5-22"">Constructive alignment in university teaching.</a> <em>HERDSA Review of Higher Education, 1</em>, 5-22.</sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
"1.10","Constructive alignment through curriculum mapping","Article","","","Week 1","2017-04-03","3 Apr","Week 1: Foundations of Educational Design","https://www.futurelearn.com/courses/educational-design/1/steps/157510","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Within a university setting when using a constructive alignment approach the expectation is that Course Learning Outcomes (CLO) should clearly link to one or more Program Learning Outcomes (PLO). To make sure that these two levels of outcomes align, you can use curriculum mapping.</p>
                  
                  <p>Curriculum mapping involves the collection of data on the key components of the curriculum. Depending on the level at which the mapping activity is undertaken, these key components may include data on program level and course level learning outcomes, content, assessment and evaluation. The curriculum mapping process then focuses on reviewing, or mapping, curriculum coverage including identifying areas of overlap or over-concentration. Alternatively, you may discover gaps in the curriculum.</p>
                  
                  <h3 id=""why-use-curriculum-mapping-to-ensure-constructive-alignment"">Why use curriculum mapping to ensure constructive alignment?</h3>
                  
                  <p>&#8226; Students need to be clear about what they are achieving throughout their studies. There needs to be transparency in the knowledge, skills and application of these, being targeted across all course. This makes sure that graduates from any course or program achieve the stated aims and  program level outcomes</p>
                  
                  <p>&#8226; Staff need to have a shared understanding of what a program is teaching, and how their course fits within it. Engaging in curriculum mapping can also improve communication about curriculum among faculty and encourage reflective practice (RIT, n.d.)</p>
                  
                  <p>&#8226; Universities need to be able to guarantee that students have a consistent and high quality
                  educational experience.</p>
                  
                  <p><img srcset=""https://ugc.futurelearn.com/uploads/assets/b4/77/small_hero_b4771686-ebf2-4553-a2f4-8efd9673d284.jpg 320w, https://ugc.futurelearn.com/uploads/assets/b4/77/hero_b4771686-ebf2-4553-a2f4-8efd9673d284.jpg 648w, https://ugc.futurelearn.com/uploads/assets/b4/77/large_hero_b4771686-ebf2-4553-a2f4-8efd9673d284.jpg 729w, https://ugc.futurelearn.com/uploads/assets/b4/77/large_hero_b4771686-ebf2-4553-a2f4-8efd9673d284.jpg 2x"" sizes=""(min-width: 1695px) 729px, (min-width: 680px) 648px, 320px"" alt=""Table showing relationship from program learning outcomes to external / internal auditing"" src=""https://ugc.futurelearn.com/uploads/assets/b4/77/hero_b4771686-ebf2-4553-a2f4-8efd9673d284.jpg""/>
                  <sub> Copyright &#169; UNSW Sydney 2017</sub></p>
                  
                  <h3 id=""emreflection-pointem-""><em>Reflection point<em/></em></h3>
                  
                  <p>Has your department or faculty engaged in any curriculum mapping activities?</p>
                  
                  <p>If so, what were the outcomes of the mapping process for curriculum design?
                  If not, do you feel confident in undertaking such a process?</p>
                  
                  <h3 id=""want-to-know-more"">Want to know more?</h3>
                  <p>If you would like to more about this topic on curriculum mapping there are additional resources listed in the <a href=""https://ugc.futurelearn.com/uploads/files/a5/11/a511ac4a-5f7d-41a2-bf2c-cb6f3ca179ba/IED_1_Curriculum_mapping_Want_to_know_more.pdf"">Want to know more.pdf</a> for this step.</p>
                  
                  <p><strong>References</strong></p>
                  
                  <p><sub>Rochester Institute of Technology (n.d.). <a href=""https://www.rit.edu/academicaffairs/outcomes/curriculum-mapping""><em>Curriculum Mapping.</em></a> The Office of Educational Effectiveness Assessment (EEA) website.</sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
