"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Welcome to the course","Video","02:25",145,"Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/107491","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9855924/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9855924/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.2","Pre-course survey","Exercise","","","Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/180793","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Before you take the survey check you have updated your FutureLearn profile. You can find your profile in the menu on the top right of the screen.</p>
                  
                  <p>Given the nature of this course, we will have an opportunity to discuss the nature of the survey and the questions asked later in the course. This will give you a better insight of the design of the survey across the three courses and understand the reasons why you have been asked specific questions.</p>
                  
                  <p>Take some time to complete this pre-course survey. Your carefully considered responses will have a real impact on how courses like this are run.</p>
                  
                  <p>If you experience any technical difficulties in accessing the activity, please send us a screen shot, description of your operating system (OS), web browser and steps taken to MOOCs@unsw.edu.au</p>
                  
                  <p>Select the Launch button below to begin.</p>
                </div>
                ]"
"1.3","Getting to know you","Article","","","Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/107488","[<div class=""a-text-context a-text-context--bold-intro"">
                  <h3 id=""why-do-this-course"">Why do this course?</h3>
                  
                  <p>We&#8217;d like to find out why you want  to do this course and what you&#8217;d like to get out of it. Use the discussion below to share your reason and what motivated you to join this course.</p>
                  
                  <p>You can also join our <a href=""https://www.zeemaps.com/map?group=2496921"">interactive map</a> to share the country you obtained your undergraduate degree (or any other first formal qualification, example, school, certificate, diploma, undergraduate etc) as well as what that degree (or qualification) is in.</p>
                  
                  <p>Join the discussion below to introduce yourself and share your thoughts.</p>
                  
                  <h3 id=""about-us"">About us</h3>
                  
                  <p>Hello, I am Lorenzo Vigentini (l.vigentini@unsw.edu.au), a senior lecturer and academic developer. My background is a mix of psychology, education, computing science and data science. I am committed to improve the student experience and quality of teaching marrying evidence-based approaches with academic development.</p>
                  
                  <p>Hello, I am Sonal Bhalla (s.bhalla@unsw.edu.au), an academic career developer with interests in curriculum design, enhancing student experience, assessment and exploring innovative use of educational technologies to create an effective learning environment. My background is in primary school teaching and educational design and development in higher and professional education.</p>
                  
                  <p>Hello, I am Martin Parisio (m.parisio@unsw.edu.au), an educational developer.  I am interested in effective design for learning and academia more generally. My background spans K-12 education as a teacher and NSW regional professional development facilitator, and educational design for learning at University.</p>
                  
                  <h3 id=""interactive-map-activity"">Interactive Map activity</h3>
                  
                  <p>Join our <a href=""https://www.zeemaps.com/map?group=2496921"">interactive map</a> to share the country you obtained your undergraduate degree (or any other first formal qualification, example, school, certificate, diploma, undergraduate etc) as well as what that degree (or qualification) is in.</p>
                  
                  <p>Follow the steps below.</p>
                  
                  <ul>
                    <li>Click on the <a href=""https://www.zeemaps.com/map?group=2496921"">interactive map</a> link.</li>
                    <li>At the top left of the map, click the tab marked &#8216;Additions&#8217;.</li>
                    <li>Choose &#8216;Add Marker - Simple&#8217;.</li>
                    <li>Type your first name (e.g. Sonal (English Literature)) in the Entry Name field and your degree. We suggest that you use only your first name for security reasons.</li>
                    <li>Type the location, city and country, in the location field (e.g. Darwin, Australia) that identifies from where you obtained your first degree/formal qualification. Alternatively you can use the &#8216;click on map location&#8217; feature.</li>
                    <li>Click &#8216;Submit&#8217;.</li>
                    <li>Click &#8216;Close&#8217; and you will be able to see your marker</li>
                  </ul>
                  
                  <p>Once you&#8217;ve added yourself to the map, click &#8216;Back&#8217; on your browser to return to this page.</p>
                  
                  <h4 id=""join-the-discussion-by-typing-your-comment-below"">Join the discussion by typing your comment below</h4>
                  
                  <p>To get the most out of this course and the community of learners, we encourage you to read and respond to your peers. You can either respond by &#8216;replying&#8217; or click on &#8216;like&#8217; if you found something interesting. Other ways to keep in touch is to &#8216;follow&#8217; peers to help you find comments by the same person in the future.</p>
                  
                  <h4 id=""next-steps"">Next steps</h4>
                  
                  <p>Well done, you&#8217;ve reached the end of this step. Now select the pink Mark as complete button below, then select Next to move on.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
"1.4","Course overview","Article","","","Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/107492","[<div class=""a-text-context a-text-context--bold-intro"">
                  <h3 id=""course-rationale"">Course rationale</h3>
                  
                  <p>This course is the third of three courses of the <a href=""https://www.futurelearn.com/programs/university-learning-and-teaching"">Foundations of University Learning and Teaching (FULT) program</a>. In <strong>this</strong> course we focus  on enhancement of learning and teaching through evaluation and reflection.</p>
                  
                  <p>The first course (Introduction to Learning and Teaching in Higher Education) focuses on student learning and teaching, identified in the presage component of the 3P model of learning diagram below (Biggs, 1993). The second course (Introduction to Educational Design in HIgher Education) focuses on curriculum and learning design, which is the process component of the 3P model.</p>
                  
                  <p>Even though each course has a different focus, you need to remember that we are looking at an educational system where each component is interrelated. A change in any one component of the system will result in disequilibrium and changes will be required as the system adapts to reach equilibrium again. For example, a change in students&#8217; prior knowledge will require a change in teaching, in the curriculum and in evaluation.</p>
                  
                  <p><img srcset=""https://ugc.futurelearn.com/uploads/assets/95/42/small_hero_95423395-2feb-4f2d-a271-d0cc14a8714f.png 320w, https://ugc.futurelearn.com/uploads/assets/95/42/hero_95423395-2feb-4f2d-a271-d0cc14a8714f.png 648w, https://ugc.futurelearn.com/uploads/assets/95/42/large_hero_95423395-2feb-4f2d-a271-d0cc14a8714f.png 729w, https://ugc.futurelearn.com/uploads/assets/95/42/large_hero_95423395-2feb-4f2d-a271-d0cc14a8714f.png 2x"" sizes=""(min-width: 1695px) 729px, (min-width: 680px) 648px, 320px"" alt=""3P image based on Biggs, 1993"" src=""https://ugc.futurelearn.com/uploads/assets/95/42/hero_95423395-2feb-4f2d-a271-d0cc14a8714f.png""/><sub> 3P image based on Biggs, (1993). Used with permission.</sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
"1.5","Course structure and expectations","Article","","","Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/184364","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Each week has a similar structure that includes a step with an overview of the content and high level structure.</p>
                  
                  <p>In addition to the content, the &#8216;References&#8217; and &#8216;Want to know more&#8217; sections provide useful resources. The learning activities consists of - &#8216;Talking points&#8217;, &#8216;Reflection points&#8217; and &#8216;Evaluation toolkit examples&#8217;.</p>
                  
                  <p>As you progress through each week of the course, you will engage in a range of evaluation activities and resources - all of which will help you with application of an evaluation process in your practice and carry out a mini-evaluation task in week 4.</p>
                  
                  <ul>
                    <li>
                      <p><strong>References:</strong> In each step you will also find a list of useful references to supplement the content in the course. If you work for an educational institution you may have direct access to the resources, otherwise your local library might be able to help you access them.</p>
                    </li>
                    <li>
                      <p><strong>Want to know more:</strong> We try to provide free and open resources as core readings and other references (in the &#8216;Want to know more&#8217; section) should be considered additional or optional resources which will be useful to get a more in-depth understanding of the topics and encourage you to go beyond the course.</p>
                    </li>
                    <li>
                      <p><strong>Talking points:</strong> These are targeted questions which focus on the topics covered in that Step or Week. Engaging in discussion with other help you to gain a deeper learning experience through sharing your ideas with others from different discipline or professional contexts.</p>
                    </li>
                    <li>
                      <p><strong>Reflection points:</strong> These are opportunities for you to stop and reflect independently.</p>
                    </li>
                    <li>
                      <p><strong>Quizzes:</strong>  At the end of each week will help to revise and consolidate your understanding of the week&#8217;s topic.</p>
                    </li>
                    <li>
                      <p><strong>Discussions:</strong> These are for you to share your own experiences and ideas with other learners.</p>
                    </li>
                    <li>
                      <p><strong>Peer Review Assignment:</strong> These provide an opportunity for you to give and receive feedback.</p>
                    </li>
                    <li>
                      <p><strong>Building your toolkit examples:</strong> At the end of each week we will demonstrate, or model, different ways to collect and collate feedback as evaluation data. Each activity is an example of a resource that builds your evaluation toolkit. We will also collect all the feedback received through these activities and provide you with the data so we can continue to  discuss the issues.This feedback will also be used by us to improve future versions of this course.</p>
                    </li>
                    <li>
                      <p><strong>Mini-evaluation task in Week 4:</strong> The mini-evaluation is where you apply what you learn to your own evaluation project. It is a key component of this course and it offers a unique opportunity for you to consider your practice systematically. In the first three weeks we cover concepts about evaluation, tools, sources and approaches and some definitions of student experience. This information will help you to think about, design and implement an evaluation of your practice.</p>
                    </li>
                  </ul>
                  
                  <p>It is &#8216;mini&#8217; because you will have limited time to consider what to evaluate, how to implement it and reflect on the findings. More information is available in step 1.13 and Week 4.</p>
                  
                  <h3 id=""tips-to-communicating-online"">Tips to communicating online</h3>
                  
                  <ul>
                    <li>Try to keep your comments brief and to the point</li>
                    <li>Use no more than two short paragraphs.</li>
                    <li>Read your comments and replies all the way through before you post them. If you post in a hurry you may regret it later &#8211; you can&#8217;t delete but you can edit your comments</li>
                    <li>Constructively criticise the idea, not the person &#8211; and be polite when you do</li>
                    <li>Don&#8217;t write a reply that you wouldn&#8217;t say face to face</li>
                    <li>Remember that learners vary in culture, age and experience</li>
                    <li>Not all learners have English as their first language, so always try to write clearly</li>
                    <li>Explain any acronyms you use and avoid jargon if you can</li>
                    <li>If you see a message that you think is offensive click its &#8216;Report&#8217; flag icon. It will be reviewed by FutureLearn&#8217;s moderators and will be removed if they agree with you</li>
                  </ul>
                  
                  <h3 id=""stay-connected"">Stay connected</h3>
                  <p>We strongly encourage you to interact with other participants on this course at every opportunity. You can also use the course hashtag, #FLenhanceLT, to contribute to the discussions on social networks.</p>
                  
                  <h3 id=""references"">References</h3>
                  
                  <p><sub>Biggs, J. (1993). From theory to practice: A cognitive systems approach. <em>Higher Education Research and Development, 12</em>, 73-86.  <a href=""http://dx.doi.org/10.1080/0729436930120107"">http://dx.doi.org/10.1080/0729436930120107</a></sub></p>
                  
                  <p><sub>Nevo, D. (1983). The Conceptualization of Educational Evaluation: An Analytical Review of the Literature. <em>Review of Educational Research, 53</em>. pp. 117-128.</sub></p>
                  
                  <p><sub>Harvey, J. (Ed). (1998). <em>Evaluation cookbook</em>. Edinburgh: Learning Technology Dissemination Initiative Institute for Computer Based Learning, Heriot-Watt University.</sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.6","Overview of week one","Article","","","Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/187009","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Week one: The role of evaluation and reflection for enhancing learning and teaching</p>
                  
                  <p>In this introductory week, we start the course with a focus on what we mean by the concept of evaluation. A practice that is closely related to, even integrated with, evaluation is that of reflection. And, we will explore the links between evaluative and reflective practices.</p>
                  
                  <p>Throughout the week, we encourage you to reflect on how the content relates to your educational context.</p>
                  
                  <p>In summary, this week we will cover three topics:</p>
                  
                  <ul>
                    <li>What is evaluation and why it is needed for enhancing learning and teaching</li>
                    <li>Review and develop reflection and reflective practice</li>
                    <li>Think about how you can design and implement an evaluation in your context</li>
                  </ul>
                  
                  <h3 id=""want-to-know-more"">Want to know more?</h3>
                  <p>If you would like to more about this topic there are additional resources listed in the <a href=""https://ugc.futurelearn.com/uploads/files/dd/76/dd76c858-b587-401a-a713-ef01cac3023f/IELT_1_The_role_of_evaluation_and_reflection_Want_to_know_more.pdf"">Want to know more.pdf</a> for this step.</p>
                  
                  <h3 id=""references"">References</h3>
                  
                  <p><sub>Biggs, J. (1993). From theory to practice: A cognitive systems approach. <em>Higher Education Research and Development, 12</em>, 73-86.
                  http://dx.doi.org/10.1080/0729436930120107</sub></p>
                  
                  <p><sub>Nevo, D. (1983). <a href=""http://rer.sagepub.com/content/53/1/117"">The Conceptualization of Educational Evaluation: An Analytical Review of the Literature</a>. <em>Review of Educational Research, 53</em>:117-128</sub></p>
                  
                  <p><sub><em>Harvey&#8217;s Evaluation cookbook is another detailed option</em> (Contents, Page 5)</sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.7","ePortfolio requirements","Article","","","Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/184360","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In this course, which is part of the Foundations of University Learning and Teaching program, you have the option to develop an ePortfolio to support your development as a reflective practitioner by collecting evidence from the course activities and discussions.</p>
                  
                  <p>The ePortfolio is a required assessment task if you are intending to complete all three courses that make-up the Foundations of University Learning and Teaching program.</p>
                  
                  <h3 id=""purpose"">Purpose</h3>
                  <p>To help you develop connections between the program and your workplace. To link theory to practice through discussion and analysis of key issues that interest you and your peers. Your portfolio will be used in two ways:</p>
                  
                  <ul>
                    <li>record your general reflections about teaching and learning during the course (not for submission)</li>
                    <li>complete the required portfolio activities drawing on your experiences during the program and copy these into the ePortfolio submission template provided at the bottom of the page (for submission in the <a href=""https://www.futurelearn.com/programs/university-learning-and-teaching/assessment"">Final Assessment course</a>. (Note: The headings in the PDF template can also be copied into an editable document for you to complete.)</li>
                  </ul>
                  
                  <p><strong>Reflective practice</strong>: this documentation of reflection related to your own practice is for personal purposes, not for direct submission. Maintaining a record of your reflections will provide the information you need to write up your final portfolio task.</p>
                  
                  <p><strong>Peer sharing</strong>: although you won&#8217;t be directly required to submit these personal reflections we suggest it would be useful to share them with a peer to gain insight into different perspectives.
                  We have provided a peer review activity at the end of the course for you to share one of your portfolio tasks with your peers.</p>
                  
                  <p><strong>Collecting evidence</strong>: to complete the Foundations of University Learning and Teaching (FULT) program you will be asked to submit artefacts from your FULT learning, so it will be useful to collect and keep a copy of these as part of your reflection.</p>
                  
                  <p>These include:</p>
                  
                  <ul>
                    <li>quotes from your reflective writing, or from the posts that have been critical in prompting your thinking;</li>
                    <li>references to readings and research that have influenced you;</li>
                    <li>lesson plans you have developed;</li>
                    <li>mini-evaluations your have undertaken and other forms such as images you have captured or created.</li>
                  </ul>
                  
                  <h3 id=""reflecting-in-your-portfolio"">Reflecting in your portfolio</h3>
                  
                  <p>In writing your reflection you can:</p>
                  
                  <ul>
                    <li>write brief notes or point form phrases</li>
                    <li>observe others and describe what you learn from them</li>
                    <li>listen to what your peers/colleagues have to say about issues that you raise for discussion and use the different perspectives to deepen your personal reflection</li>
                    <li>ask yourself &#8216;what&#8217; &#8216;why&#8217; and &#8216;how&#8217; questions to discover why a situation you experienced or observed could be a valuable stimulus for reflection and learning.</li>
                  </ul>
                  
                  <h3 id=""eportfolio-activities-overall-length-3000-words"">ePortfolio activities (Overall length: 3000 words)</h3>
                  
                  <p>In your completed ePortfolio you are required to submit 8 activities in total that consist of:</p>
                  
                  <p><strong>Summary of ePortfolio activities</strong></p>
                  
                  <table>
                    <thead>
                      <tr>
                        <th>Activity summary</th>
                        <th>Course</th>
                        <th>Week/Step</th>
                      </tr>
                    </thead>
                    <tbody>
                      <tr>
                        <td>1(a) Reflection on deep learning (300 words)</td>
                        <td>Introduction to Learning and Teaching in Higher Education</td>
                        <td>Week 1 Step 1.17</td>
                      </tr>
                      <tr>
                        <td>1(b) Propose a teaching strategy (300 words)</td>
                        <td>Introduction to Learning and Teaching in Higher Education</td>
                        <td>Week 3 Step 3.10</td>
                      </tr>
                      <tr>
                        <td>2(a) Reflection on active blended learning (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.8</td>
                      </tr>
                      <tr>
                        <td>2(b) Lesson plan (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.6</td>
                      </tr>
                      <tr>
                        <td>2(c) Assessment review (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.16</td>
                      </tr>
                      <tr>
                        <td><strong>3(a) Reflection on mini evaluation (300 words)</strong></td>
                        <td><strong>Introduction to Enhancing Learning and Teaching in Higher Education</strong></td>
                        <td><strong>Week 5 <a href=""https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/187817"">Step 5.9</a></strong></td>
                      </tr>
                      <tr>
                        <td><strong>3(b) Reflection on learnings and strategies (600 words)</strong></td>
                        <td><strong>Introduction to Enhancing Learning and Teaching in Higher Education</strong></td>
                        <td><strong>Week 5 <a href=""https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/187817"">Step 5.9</a></strong></td>
                      </tr>
                      <tr>
                        <td>4 Meta reflection (300 words)</td>
                        <td>An overall reflection (on your own reflections) for all three course</td>
                        <td>From 22 May via the assessment course</td>
                      </tr>
                    </tbody>
                  </table>
                  
                  <h3 id=""eportfolio-setup-and-submission"">ePortfolio setup and submission</h3>
                  
                  <p>You can find advice on setting up your ePortfolio on this page, <a href=""https://ugc.futurelearn.com/uploads/files/2f/45/2f45c7bd-5f92-405b-968c-6cd3e5fa5fb1/Settingupyourportfolio.pdf"">how to set up an ePortfolio</a> and under &#8216;Downloads&#8217; at the bottom of the page.</p>
                  
                  <p>Please use the <a href=""https://ugc.futurelearn.com/uploads/files/dc/96/dc969f79-6b62-4b9a-9219-098b79f15847/Reflective_ePortfolio_summary_template_FINAL.pdf"">template</a> for submitting your ePortfolio. This is also available under &#8216;Downloads&#8217; at the bottom of the page as a PDF version and <a href=""http://tinyurl.com/n69hdwb"">Word DOCX version</a>.</p>
                  
                  <h3 id=""eportfolio-submission-checklist-and-rubric"">ePortfolio submission checklist and rubric</h3>
                  
                  <p>This <a href=""https://ugc.futurelearn.com/uploads/files/46/e9/46e94901-f16d-4543-bc60-dbeb30922c38/FULT_ePortfolio_checklist_and_marking_rubric_FINAL.pdf"">rubric</a> will be used to assess your ePortfolio submissions and provide you with qualitative feedback. We encourage you to use the rubric to assess your own work as you develop your ePortfolio. It is also available under &#8216;Downloads&#8217; at the bottom of this step.</p>
                  
                  <h3 id=""submission"">Submission:</h3>
                  
                  <p><strong>Non-UNSW participant submission</strong></p>
                  
                  <p>You will submit your completed ePortfolio for marking and feedback via the <a href=""https://www.futurelearn.com/programs/university-learning-and-teaching/assessment"">FutureLearn Assessment</a> course, once you have successfully completed all three (3) courses, <a href=""https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/upgrade"">upgraded</a> each course and qualified for a Certificate of Achievement for each.</p>
                  
                  <p>Successful completion of the ePortfolio will meet the requirements of the FutureLearn Program Award.</p>
                  
                  <p><strong>UNSW staff submission</strong></p>
                  
                  <p>You will submit your ePortfolio for marking via the ePortfolio submission link in <strong>Moodle</strong>.</p>
                  
                  <p><strong>Submission due date for UNSW staff only: 21st June 2017.</strong></p>
                  
                  <p>(UNSW staff are required to submit an ePortfolio in <strong>Moodle</strong> to successfully meet the requirements of the FULT program)</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
"1.8","What is evaluation?","Article","","","Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/184368","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>To begin the course we first need to understand what evaluation means. There are many definitions of evaluation depending on the context and discipline, but most have a common thread.</p>
                  
                  <p>A common definition is:
                  <em>&#8220;The process of determining to what extent the educational objectives are actually being realized&#8221;</em> (Tyler, 1950, p. 69)</p>
                  
                  <p>Another accepted definition is:
                  <em>&#8220;Evaluation is the process of determining merit, worth, or significance; an evaluation is a product of that process&#8221;</em> (Scriven, 1991, p. 53)</p>
                  
                  <p>However, Cronbach and associates (1980) clearly rejected the judgmental nature of evaluation advocating an approach that recognises the evaluator as:
                  <em>&#8220;an educator [whose] success is to be judged by what others learn&#8221; (p. 11) rather than a &#8220;referee [for] a basketball game&#8221; (p. 18) who is hired to decide who is &#8220;right&#8221; or &#8220;wrong&#8221;.</em></p>
                  
                  <blockquote>
                    <h3 id=""talking-point"">Talking point</h3>
                    <p>Time to vote.</p>
                  </blockquote>
                  
                  <ol>
                    <li>
                      <p>Think about the definitions of evaluation. Identify which is your favourite and post in the discussion with one sentence about why this definition resonates with you.</p>
                    </li>
                    <li>
                      <p>Use the &#8216;like&#8217; button to have your say too. You can click on &#8216;like&#8217; to vote on the your favourite definition and explanation. <em>You might have to revisit this talking point at a later stage to complete this.</em></p>
                    </li>
                  </ol>
                  
                  <p>Based on a review of the definitions, there are three key components of evaluation:</p>
                  
                  <ol>
                    <li>who is doing evaluation?</li>
                    <li>what is the purpose of the evaluation?</li>
                    <li>for whom the evaluation is done?</li>
                  </ol>
                  
                  <p>An assumption underpinning this course is that &#8216;evaluation is an analytical process that is intrinsic to good teaching&#8217; (Ramsden, 2003, p. 209).</p>
                  
                  <p>In the educational evaluation context, Nevo (1983) suggested ten questions to drive the discussion/review of what evaluation entails.</p>
                  
                  <p>These ten questions can provide a scaffold for you to consider in planning your mini-evaluation which is one of the main activities for this course.</p>
                  
                  <ol>
                    <li>How is evaluation defined?</li>
                    <li>What are the functions of evaluation?</li>
                    <li>What are the objects of evaluation?</li>
                    <li>What kinds of information should be collected regarding each object</li>
                    <li>What criteria should be used to judge the merit and worth of an evaluated object?</li>
                    <li>Who should be served by an evaluation?</li>
                    <li>What is the process of doing an evaluation?</li>
                    <li>What methods of inquiry should be used in evaluation?</li>
                    <li>Who should do evaluation?</li>
                    <li>By what standards should evaluation be judged?</li>
                  </ol>
                  
                  <blockquote>
                    <h3 id=""reflection-point"">Reflection point</h3>
                    <p>These ten questions provide a comprehensive overview of the evaluation process. Do you agree that each of the questions should be on the list? Are there missing questions?</p>
                  </blockquote>
                  
                  <h3 id=""want-to-know-more"">Want to know more?</h3>
                  <p>If you would like to more about this topic evaluation there are additional resources listed in the <a href=""https://ugc.futurelearn.com/uploads/files/8f/fd/8ffd770f-fd2e-4950-b1ce-d58ffa1294e4/IELT_What_is_evaluation_Want_to_know_more.pdf"">Want to know more.pdf</a> for this step.</p>
                  
                  <h3 id=""references"">References</h3>
                  
                  <p><sub>Cronbach, L. J.,  Ambron, S. R., Dornbusch, S. M., Hess, R. D., Hornik, R. C., Phillips, D. C., Walker, D. F. &amp; Weiner, S. S. (1980). <em>Toward reform of program evaluation.</em> San Francisco: Jossey-Bass.</sub></p>
                  
                  <p><sub>Nevo, D. (1983). The conceptualization of educational evaluation: An analytical review of the literature. <em>Review of Educational Research, 53</em>(1),117-128.</sub></p>
                  
                  <p><sub>Ramsden, P. (2003). <em>Learning to teach in higher education.</em> 2nd edition. London: Routledge.</sub></p>
                  
                  <p><sub>Scriven, M. (1991). <em>Evaluation thesaurus.</em> Fourth edition. Newbury Park : Sage.</sub></p>
                  
                  <p><sub>Tyler, R. W. (1950). <em>Basic principles of curriculum and instruction.</em> Chicago: University of Chicago Press.</sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
"1.9","Evaluation in practice","Article","","","Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/184369","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Now that we have a better understanding of what evaluation means, in this step we will look at the role it plays in enhancing curriculum.</p>
                  
                  <p>The ways to gather evidence for quality enhancement through evaluation depends on what you plan to do, or to use the words from Nevo&#8217;s (1983) 10 questions, the function and objects of your evaluation. For example, to evaluate the effectiveness of a particular teacher, you may want to consider students&#8217; experience in context (i.e. in the class, or over a number of classes). Direct feedback from students could be useful in this case. If the focus is on what students&#8217; learnt from a particular session or a course, a specific quiz/assessment might be more useful.</p>
                  
                  <p>The role of evaluation in enhancing curriculum can be viewed as cyclical (George &amp; Cowan, 2004) 
                  where the aims of the curriculum (or the learning outcomes) are at the centre and interact with all the aspects of curriculum design.</p>
                  
                  <p>In this version, evaluation is a specific step with clear dependencies to the learning outcomes (in the center of the figure) and the learning outcomes drive all the stages of learning design. Each step has its own loop in which evaluation can play a formative or key role before decisions are made.</p>
                  
                  <p><img srcset=""https://ugc.futurelearn.com/uploads/assets/55/01/small_hero_55016c76-7700-46b8-abd4-1579a1a05503.png 320w, https://ugc.futurelearn.com/uploads/assets/55/01/hero_55016c76-7700-46b8-abd4-1579a1a05503.png 648w, https://ugc.futurelearn.com/uploads/assets/55/01/large_hero_55016c76-7700-46b8-abd4-1579a1a05503.png 729w, https://ugc.futurelearn.com/uploads/assets/55/01/large_hero_55016c76-7700-46b8-abd4-1579a1a05503.png 2x"" sizes=""(min-width: 1695px) 729px, (min-width: 680px) 648px, 320px"" alt=""A logical model of curriculum development: evaluation is a specific step with clear dependencies to the learning outcomes (in the center of the figure) and the learning outcomes drive all the stages of learning design. "" src=""https://ugc.futurelearn.com/uploads/assets/55/01/hero_55016c76-7700-46b8-abd4-1579a1a05503.png""/>
                  <sub>Figure 1. A logical model of curriculum development (George &amp; Cowan, 1999, p. 7) Used with permission</sub></p>
                  
                  <p>In the model above you can easily substitute &#8216;curriculum&#8217; with &#8216;course&#8217; or &#8216;class/session&#8217;. In fact, evaluation can be done at any stage and at any organisational level, but the methodology chosen will be directly affected by the aims for that specific context.</p>
                  
                  <h3 id=""want-to-know-more"">Want to know more?</h3>
                  <p>If you would like to more about this topic of evaluation in practice there are additional resources listed in the <a href=""https://ugc.futurelearn.com/uploads/files/d0/59/d059e1cb-c12e-4920-ab51-729fab4d13b4/IELT_Evaluation_in_practice_Want_to_know_more.pdf"">Want to know more.pdf</a> for this step.</p>
                  
                  <h3 id=""references"">References</h3>
                  <p><sub>George, J. &amp; Cowan, J. (1999). <em>A handbook of techniques for formative evaluation. Mapping the student&#8217;s learning experience.</em> London: Routledge Falmer.</sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney 2017</p>
                  </div>
                </div>
                ]"
"1.10","Evaluation in practice and what is evaluated","Video","15:05",905,"Week 1","2017-04-17","17 Apr","Week 1: Defining evaluation","https://www.futurelearn.com/courses/enhancing-learning-and-teaching/1/steps/187016","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9856167/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9856167/download/hd"">HD</a>
                  </div>
                </div>
                ]"
