"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Introduction to the course","Article","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/68724","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Introduction to the course
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/international-franchise-law/1/steps/68724/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">225 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.2","Meet your learning community","Article","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/69924","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Meet your fellow learners</p>
                  
                  <p>Join our interactive map to share which country you are based in.</p>
                  
                  <p>Follow the steps below.</p>
                  
                  <ul>
                    <li>
                      <p>Click on the link below</p>
                    </li>
                    <li>
                      <p>At the top left of the map click the tab marked &#8216;Additions&#8217;.</p>
                    </li>
                    <li>
                      <p>Choose &#8216;Add Marker - Simple&#8217;.</p>
                    </li>
                    <li>
                      <p>Type FRANCHISELAW in the Password field.</p>
                    </li>
                    <li>
                      <p>Type your name in the Entry Name field. We suggest that you use only your first name for security reasons.</p>
                    </li>
                    <li>
                      <p>Type your location in the location field (e.g. your city &amp; country). Alternatively you can use the &#8216;click on map location&#8217; feature. Please don&#8217;t put your full address for security reasons.</p>
                    </li>
                    <li>
                      <p>Click Submit</p>
                    </li>
                    <li>
                      <p>Click Close and you will be able to see your marker</p>
                    </li>
                  </ul>
                  
                  <p>Once you&#8217;ve added yourself to the map, click &#8216;Back&#8217; on your browser to return to this page.</p>
                  
                  <p><a href=""https://www.zeemaps.com/map?group=1906726"">Click here to go the interactive map.</a></p>
                  
                  <p>Please use the comments to say hello, introduce yourself and connect with other learners.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.3","What do you know about franchising?","Discussion","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/69925","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>We all come with different understanding of what franchising is. This discussion is to get a conversation started to share our understanding and experiences of franchising.</p>
                  
                  <p>These prompts might get you started in discussing what you currently know about franchising:</p>
                  
                  <blockquote>
                    <ul>
                      <li>
                        <p>Do you know the difference between a franchisor and franchisee?</p>
                      </li>
                      <li>
                        <p>Have you ever been involved in a franchise?</p>
                      </li>
                      <li>
                        <p>What&#8217;s your favourite franchise? And, why is it your favourite?</p>
                      </li>
                      <li>
                        <p>Why do you think this business model is so popular?</p>
                      </li>
                    </ul>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.4","How is franchising defined in your jursidiction?","Discussion","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/79777","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Each country defines business format franchising in a slightly different way.</p>
                  
                  <p>How is franchising defined in your jurisdiction?</p>
                  
                  <p>You might need to source the legislation or case law from your country to work out what the legal definition of a franchise is. You can find links to the legislation of many jurisdictions on <a href=""http://www.franchise.org/international-franchising-laws"">franchise.org</a>.</p>
                  
                  <p>Once you&#8217;ve found the legal definition of a franchise in your own country, paste it in a comment below. You may also post a link to the definition you found.</p>
                  
                  <p>We will share a document collating the different definitions submitted at the end of the course.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.5","Introduction to the case study approach","Article","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/72739","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>The course uses a video-based case study approach which explores real world issues through the experience of Michelle and Brian - a Sydney couple who are dreaming of expanding their boat cleaning business.</p>
                  
                  <p>Through the case study we present a real situation encountered by a business in order to draw out the issues and challenges in setting up and then expanding a franchise.</p>
                  
                  <p>There will be learning activities such as discussion and quizzes on key issues and challenges that emerge through the 6 scenarios presented where you will be asked to discuss these and identify strategies, ideas and ways to respond effectively.</p>
                  
                  <p>You will be able to access relevant resources and guest legal experts&#8217; views to further guide you in your decision making process, as you would be in real life context.</p>
                  
                  <p>In order to make the most of this learning experience, we invite you to discuss issues that relate to your country and situation with your peers to further your knowledge and understanding in this area.</p>
                  
                  <p>After participating in this week&#8217;s learning activities, you will be able to:</p>
                  
                  <blockquote>
                    <ul>
                      <li>
                        <p>Assess a franchise business for suitability of transport to overseas jurisdictions.</p>
                      </li>
                      <li>
                        <p>Recognise the role of legal advisers in the business decision to expand a franchise to a new country.</p>
                      </li>
                    </ul>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.6","Case study scenario one: Cultural dimensions","Video","03:28",208,"Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/69927","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6434046/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6434046/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.7","What must Michelle and Brian make decisions about right at the start of their business expansion?","Discussion","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/69928","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Here are some headings to get you started.</p>
                  
                  <blockquote>
                    <ul>
                      <li>Michelle and Brian&#8217;s Boat Cleaners as a business name is a bit meaningless in a global market. How would you decide what to call your business?</li>
                      <li>Currently Michelle and Brian operate as a proprietary company with employees. They don&#8217;t want to have employees in other countries. How can they avoid that? What business structures could they use?</li>
                      <li>What country should a business expand into first?</li>
                      <li>What needs to be taken into consideration?</li>
                    </ul>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.8","Poll","Exercise","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/80734","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>This activity is designed to gather your opinion on the defining elements of a business format franchise.</p>
                  
                  <p>Click on the &#8216;Launch&#8217; button to complete this.</p>
                </div>
                ]"
"1.9","Comparison of business models","Video","03:06",186,"Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/71934","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6434341/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6434341/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.10","Thinking about expanding?","Discussion","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/71935","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>On the previous step, we identified the different franchise expansion models available to a franchisor wishing to grow its business. Here is a scenario for you to think about and discuss:</p>
                  
                  <p>You are a franchisor with a developed franchise system selling pet food and pet supplies based in Australia. You have decided to expand to another country.</p>
                  
                  <p>Choose and identify a country that you have decided to expand into and join the discussion about:</p>
                  
                  <blockquote>
                    <ul>
                      <li>
                        <p>Which method of expansion would you choose and why?</p>
                      </li>
                      <li>
                        <p>What factors should you take into account when making your decision?</p>
                      </li>
                    </ul>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.11","Check your understanding: Week 1","Quiz","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/71976","[]"
