"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Let's get started","Video","00:55",55,"Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/162401","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/9177268/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/9177268/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.2","Pre-course survey","Exercise","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/162953","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Please note: The access issues for this survey have now been resolved.</p>
                  
                  <p>Please take some time to complete this pre-course survey. Your careful responses will have a real impact on how this course is run in the future.</p>
                  
                  <p>Before you take the survey check that you have updated your FutureLearn profile. You can find your profile in the menu on the top right of the screen.</p>
                  
                  <p>If you experience any <strong>technical difficulties</strong> in accessing the activity please post in the comments at the bottom of the page providing as much detail as you can.</p>
                  
                  <p>Select the <strong>Launch button</strong> below to open the survey.</p>
                  
                  <p>Please note, by launching the exercise you will be taken to a page containing content provided by a third party website.</p>
                </div>
                ]"
"1.3","Expectations of you as a learner","Article","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/179629","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>You have all joined the course for different reasons. Whether you already work in higher education, are a curious teacher or studying as a life-long learner, there is something in this course for you.</p>
                  
                  <h3 id=""how-to-navigate-the-course-activities"">How to navigate the course activities</h3>
                  
                  <p>There are different types of activities each week in which you can engage.  Activities are labelled:</p>
                  
                  <p><strong>Talking Points</strong>: are targeted questions which focus on the topics covered in that Step or Week. Engaging in discussion with other help you to gain a deeper learning experience through sharing your ideas with others from different discipline or professional contexts.</p>
                  
                  <p><strong>Reflective Points</strong>: are opportunities for you to stop and reflect independently.</p>
                  
                  <p><strong>Discussions</strong>: are for you to share your own experiences and ideas with other learners.</p>
                  
                  <p><strong>Quizzes</strong>: at the end of each week will help to revise and consolidate your understanding of the week&#8217;s topic.</p>
                  
                  <p><strong>Peer Review Assignment</strong>: provides an opportunity for you to give and receive feedback on Activity 1(b) from your ePortfolio.</p>
                  
                  <h3 id=""tips-to-communicating-online"">Tips to communicating online</h3>
                  
                  <ul>
                    <li>Try to keep your comments brief and to the point</li>
                    <li>Use no more than two short paragraphs.</li>
                    <li>Read your comments and replies all the way through before you post them. If you post in a hurry you may regret it later &#8211; you can&#8217;t delete but you can edit your comments</li>
                    <li>Constructively criticise the idea, not the person &#8211; and be polite when you do</li>
                    <li>Don&#8217;t write a reply that you wouldn&#8217;t say face to face</li>
                    <li>Remember that learners vary in culture, age and experience</li>
                    <li>Not all learners have English as their first language, so always try to write clearly</li>
                    <li>Explain any acronyms you use and avoid jargon if you can</li>
                    <li>If you see a message that you think is offensive click its &#8216;Report&#8217; flag icon. It will be reviewed by FutureLearn&#8217;s moderators and will be removed if they agree with you</li>
                  </ul>
                  
                  <h3 id=""stay-connected"">Stay connected</h3>
                  <p>We strongly encourage you to interact with other participants on this course at every opportunity. You can also use the course hashtag, #FLlearnteach, to contribute to the discussions on social networks.</p>
                </div>
                ]"
"1.4","Getting to know you","Discussion","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/148667","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Tell us  a bit more about you before we get started.</p>
                  
                  <p>In this forum we&#8217;d like you to share some information about yourself so you and your fellow participants can find out more about each other. Simply introduce yourself in the discussion forum by posting responses to these points:</p>
                  
                  <ul>
                    <li>Why you chose to enrol in this course</li>
                    <li>Your discipline area or professional context</li>
                    <li>How long you have been working in the field of education</li>
                    <li>What you like about teaching and/or learning</li>
                    <li>Anything else about you that might be of interest to your fellow participants  and the teaching team</li>
                  </ul>
                  
                  <p>Once you have introduced yourself in the discussion forum,  find two posts by other participants (who do not have any responses yet), identify something that you both have in common and reply to their comment.</p>
                  
                  <p>If you have already worked out how to edit your profile settings then your picture will automatically appear every time you comment on Steps. You can find your profile in the menu on the top right corner of the screen.</p>
                  
                  <h3 id=""next-steps"">Next steps</h3>
                  
                  <p>Well done, you&#8217;ve reached the end of this step.  Now select the pink Mark as complete button below, then select Next to move on.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.5","ePortfolio requirements","Article","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/148668","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In this program, you have the option to develop an ePortfolio to support your development as a reflective practitioner by collecting evidence from the course activities and discussions.</p>
                  
                  <h3 id=""purpose"">Purpose</h3>
                  <p>To help you develop connections between the program and your workplace.  To link theory to practice through discussion and analysis of key issues that interest you and your peers. Your portfolio will be used in two ways:</p>
                  
                  <ul>
                    <li>record your general reflections about teaching and learning during the course (not for submission)</li>
                    <li>complete the required portfolio activities drawing on your experiences during the program and copy these into the ePortfolio submission template provided at the bottom of the page (for submission).</li>
                  </ul>
                  
                  <p><strong>Reflective practice</strong>: this documentation of reflection related to your own practice is for personal purposes, not for direct submission. Maintaining a record of your reflections will provide the information you need to write up your final portfolio task.</p>
                  
                  <p><strong>Peer sharing</strong>: although you won&#8217;t be directly required to submit these personal reflections we suggest it would be useful to share them with a peer to gain insight into different perspectives.
                  We have provided a peer review activity at the end of the course for you to share one of your portfolio tasks with your peers.</p>
                  
                  <p><strong>Collecting evidence</strong>: to complete the FULT program you will be asked to submit artefacts from your FULT learning, so it will be useful to collect and keep a copy of these as part of your reflection.</p>
                  
                  <p>These include:</p>
                  
                  <ul>
                    <li>quotes from your reflective writing, or from the posts that have been critical in prompting your thinking;</li>
                    <li>references to readings and research that have influenced you;</li>
                    <li>lesson plans you have developed;</li>
                    <li>mini-evaluations your have undertaken and other forms such as images you have captured or created.</li>
                  </ul>
                  
                  <h3 id=""reflecting-in-your-portfolio"">Reflecting in your portfolio</h3>
                  
                  <p>In writing your reflection you can:</p>
                  
                  <ul>
                    <li>write brief notes or point form phrases</li>
                    <li>observe others and describe what you learn from them</li>
                    <li>listen to what your peers/colleagues have to say about issues that you raise for discussion and use the different perspectives to deepen your personal reflection</li>
                    <li>ask yourself &#8216;what&#8217; &#8216;why&#8217; and &#8216;how&#8217; questions to discover why a situation you experienced or observed could be a valuable stimulus for reflection and learning.</li>
                  </ul>
                  
                  <h3 id=""eportfolio-activities-overall-length-3000-words"">ePortfolio activities (Overall length: 3000 words)</h3>
                  
                  <p>In your completed ePortfolio you are required to submit 8 activities in total that consist of:</p>
                  
                  <p><strong>Summary of ePortfolio activities</strong></p>
                  
                  <table>
                    <thead>
                      <tr>
                        <th>Activity summary</th>
                        <th>Course</th>
                        <th>Week/Step</th>
                      </tr>
                    </thead>
                    <tbody>
                      <tr>
                        <td>1(a) Reflection on deep learning (300 words)</td>
                        <td>Introduction to Learning and Teaching in Higher Education</td>
                        <td>Week 1 Step 1.17</td>
                      </tr>
                      <tr>
                        <td>1(b) Propose a teaching strategy (300 words)</td>
                        <td>Introduction to Learning and Teaching in Higher Education</td>
                        <td>Week 3 Step 3.10</td>
                      </tr>
                      <tr>
                        <td>2(a) Reflection on active blended learning (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.8</td>
                      </tr>
                      <tr>
                        <td>2(b) Lesson plan (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.6</td>
                      </tr>
                      <tr>
                        <td>2(c) Assessment review (300 words)</td>
                        <td>Introduction to Educational Design in Higher Education</td>
                        <td>Week 2 Step 2.16</td>
                      </tr>
                      <tr>
                        <td>3(a) Reflection on mini evaluation (300 words)</td>
                        <td>Introduction to Enhancing Learning and Teaching in Higher Education</td>
                        <td>TBC</td>
                      </tr>
                      <tr>
                        <td>3(b) Reflection on learnings and strategies (600 words)</td>
                        <td>Introduction to Enhancing Learning and Teaching in Higher Education</td>
                        <td>TBC</td>
                      </tr>
                      <tr>
                        <td>4 Meta reflection (300 words)</td>
                        <td>An overall reflection (on your own reflections) for all three course</td>
                        <td>From 22 May via the assessment course</td>
                      </tr>
                    </tbody>
                  </table>
                  
                  <h3 id=""eportfolio-setup-and-submission"">ePortfolio setup and submission</h3>
                  
                  <p>You can find advice on setting up your ePortfolio on this page, <a href=""https://ugc.futurelearn.com/uploads/files/8f/7f/8f7f5346-1f0e-4a04-af4f-5b92f3c63d49/Settingupyourportfolio.pdf"">how to set up an ePortfolio</a> and under &#8216;Downloads&#8217; at the bottom of the page.</p>
                  
                  <p>Please use the <a href=""https://ugc.futurelearn.com/uploads/files/12/9b/129b18da-d262-4571-928b-cafa2e940c10/Reflective_ePortfolio_summary_template_FINAL.pdf"">template</a> for submitting your ePortfolio. This is also available under &#8216;Downloads&#8217; at the bottom of the page as a PDF version and <a href=""http://tinyurl.com/n69hdwb"">Word DOCX version</a>.</p>
                  
                  <h3 id=""eportfolio-submission-checklist-and-rubric"">ePortfolio submission checklist and rubric</h3>
                  
                  <p>This <a href=""https://ugc.futurelearn.com/uploads/files/68/67/68677128-7caf-4c52-a571-f1185714a426/FULT_ePortfolio_checklist_and_marking_rubric_FINAL.pdf"">rubric</a> will be used to assess your ePortfolio submissions and provide you with qualitative feedback. We encourage you to use the rubric to assess your own work as you develop your ePortfolio. It is also available under &#8216;Downloads&#8217; at the bottom of this step.</p>
                  
                  <h3 id=""submission"">Submission:</h3>
                  
                  <p><strong>Non-UNSW</strong> staff submit your ePortfolio for marking via the FutureLearn Assessment course once you have successfully completed all three program courses and purchased certificates of achievement.</p>
                  
                  <p>(Non-UNSW staff are required to submit an ePortfolio successfully to meet the requirements of the FutureLearn Program Award)</p>
                  
                  <p><strong>UNSW staff</strong> submit your ePortfolio for marking via the ePortfolio submission link in <strong>Moodle</strong>. <strong>Submission due date</strong>: 21st June</p>
                  
                  <p>(UNSW staff are required to submit an ePortfolio in <strong>Moodle</strong> to successfully meet the requirements of the FULT program)</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.6","Reflective practice","Article","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/162686","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Why are we asking you to take a reflective approach to your practice and develop an ePortfolio in this program?</p>
                  
                  <p>Reflective practice has an important role to play in student learning as it:</p>
                  
                  <ul>
                    <li>
                      <p>provides the bridge between the theory that students learn in the classroom, with what they experience as they engage with the world (outside of the classroom, in the workplace, and beyond).</p>
                    </li>
                    <li>
                      <p>supports learning (Harvey, Coulson &amp; McMaugh, 2016), skills development including metacognition and creativity, and life-long learning (Harvey, et. al. 2010).</p>
                    </li>
                    <li>
                      <p>is identified as an employability skill that helps graduates to succeed in the workforce (Kinash &amp; Crane, 2015).</p>
                    </li>
                  </ul>
                  
                  <h3 id=""what-is-reflective-practice"">What is reflective practice?</h3>
                  <p>Just as there are many terms to describe reflective practices (for example, your discipline may use critical thinking, evaluation, mindfulness, investigation, contemplation) there is no one definition of reflection. Here are two definitions:</p>
                  
                  <p><em>Deliberately thinking about action with a view to its improvement 
                  (Hatton &amp; Smith, 1995, p.34)</em></p>
                  
                  <p><em>Reflection is a deliberate and conscientious process that employs a person&#8217;s cognitive, emotional and somatic capacities to mindfully contemplate on past, present or future (intended or planned) actions in order to learn, better understand and potentially improve future actions. 
                  (Harvey, Coulson &amp; McMaugh, 2016, p.9)</em></p>
                  
                  <h3 id=""how-can-we-reflect"">How can we reflect?</h3>
                  <p>As with all learning, you can engage (with reflective practice) in a range of ways, from using a shallow approach (e.g., recalling, reporting or describing) through to a deep approach (e.g., synthesising, critiquing or transforming).  There are many ways to engage in reflective practice. It is important to find a mode of practice that suits your learning best.</p>
                  
                  <p>You can support your reflective practice by adopting different perspectives, or lenses. The four critically reflective lenses are:</p>
                  
                  <ol>
                    <li>our autobiographies (as learners and teachers)</li>
                    <li>our students&#8217; eyes</li>
                    <li>our colleagues&#8217; experiences</li>
                    <li>theoretical literature</li>
                  </ol>
                  
                  <table>
                    <thead>
                      <tr>
                        <th>Lens or perspective</th>
                        <th>Source of data (evidence)</th>
                      </tr>
                    </thead>
                    <tbody>
                      <tr>
                        <td><strong>1. Autobiographical</strong></td>
                        <td>Our personal reflection on, during or for practice. May be documented as a diary, journal, portfolio, images or creative artefacts</td>
                      </tr>
                      <tr>
                        <td><strong>2. Students</strong></td>
                        <td>Student feedback can be formal (evaluations or surveys); informal (discussions, short written reflections)</td>
                      </tr>
                      <tr>
                        <td><strong>3. Colleagues or peers</strong></td>
                        <td>Can be both formal - peer observation and review or informal - discussion or short written reflections</td>
                      </tr>
                      <tr>
                        <td><strong>4. Theory and research</strong></td>
                        <td>What does the research say about the issue you are reflecting on?</td>
                      </tr>
                    </tbody>
                  </table>
                  
                  <p>Brookfield (1995)</p>
                  
                  <h3 id=""reflective-point"">Reflective point</h3>
                  
                  <p>There is no best way to reflect. You need to discover what works best for yourself.
                  You are expected to use all four perspectives when you develop your reflective <a href=""https://www.futurelearn.com/courses/learning-teaching-university/1/steps/148668"">ePortfolio</a> as part of this program. We encourage you to take a critical approach so that you challenge your own and your discipline&#8217;s assumptions about learning and teaching.</p>
                  
                  <h4 id=""how-do-you-plan-to-reflect"">How do you plan to reflect?</h4>
                  <p>Here are some optional guiding questions to help you develop your portfolio:</p>
                  
                  <ul>
                    <li>which reflective technique/s have you chosen and why?</li>
                    <li>when and how often will you reflect?</li>
                    <li>how do you intend to document your reflections?</li>
                    <li>list any questions you have developed about learning and teaching that you want to answer or explore through your reflection</li>
                  </ul>
                  
                  <p><strong>References</strong></p>
                  
                  <p><sub>Brookfield, S.D. (1995). <em>Becoming a critically reflective teacher.</em> San Francisco: Jossey-Bass.</sub></p>
                  
                  <p><sub>Clarke, D &amp; Burgess, C (2009). Using practice based education to improve the student experience. In <em>The Student Experience: Proceedings of the 32nd HERDSA Annual Conference</em>, Darwin, 6-9 July, Australia: Higher Education Research and Development Society of Australasia, Inc., pp.73- 80.</sub></p>
                  
                  <p><sub>Dewey J. 1933. <em>How we think</em>. Boston, MA: D. C. Heath and Co.</sub></p>
                  
                  <p><sub>Harvey, M., Coulson, D. &amp; McMaugh, A. (2016). Towards a theory of the ecology of reflection: reflective practice for experiential learning in higher education. <em>Journal of University Teaching and Learning Practice, 13</em>(2). http://ro.uow.edu.au/jutlp/vol13/iss2/2</sub></p>
                  
                  <p><sub>Hatton, N. &amp; Smith, D. (1995). Reflection in teacher education: Towards definition and implementation. <em>Teaching and Teacher Education, 11</em>(1), pp. 33-49.</sub></p>
                  
                  <p><sub>Kinash, S. &amp; Crane, L.  (2015). Enhancing graduate employability of the 21st century learner. Paper presented at the <em>International Mobile Learning Festival. Mobile Learning, MOOCs and 21st Century learning</em>,  Hong Kong, May 22-23, 2015. http://epublications.bond.edu.au/fsd_papers/99</sub></p>
                  
                  <h3 id=""want-to-know-more"">Want to know more?</h3>
                  <p>If you would like to more about this topic on reflective practice there are additional resources listed in the <a href=""https://ugc.futurelearn.com/uploads/files/3b/60/3b607cf0-2606-4c2c-b53d-ed9970b27629/ILT_1.6_Want_to_know_more.pdf"">Want to know more.pdf</a> for this step.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.7","Our students, our learners","Article","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/162692","[<div class=""a-text-context a-text-context--bold-intro"">
                  
                  <p>We start this course by looking at student approaches to learning but first we would like to find out something about the students that you work with in your context.</p>
                  
                  <p>In an increasingly demand-driven system, we are seeing growing student participation in higher education. In Australia, for example, there has been an almost 70 per cent increase in student places between 2001 and 2014, from approximately 588,000 to more than 977,000 places (Universities Australia, 2015).</p>
                  
                  <p>The increase in student participation rates is also resulting in a corresponding increase in the diversity of the student cohort. Diversity can refer to cultural, ethnic, religious, social and economic background and to gender and orientation. Many universities have inclusivity programs and policies to support their diverse student bodies. As teachers and designers of good learning, we need to know our students so that we can design an inclusive learning experience to meet their learning needs.</p>
                  
                  <blockquote>
                    <h3 id=""talking-point"">Talking point</h3>
                  
                    <p>Choose one of the following two options:</p>
                  
                    <p>Post one fact about students in your context (include a link to the source of this particular fact).</p>
                  
                    <p>OR</p>
                  
                    <p>Post the name of a policy or program offered by your organisation that aims to address and supports student diversity and/or inclusivity (and support this with the
                  url for that policy or program).</p>
                  </blockquote>
                  
                  <p><strong>References</strong></p>
                  
                  <p><sub>Universities Australia (2015). <em>Higher education and research facts and figures</em>. November 2015. Canberra: Author.</sub></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.8","UNSW Beliefs about Learning","Discussion","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/148669","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>As a teacher it is important to be guided by a set of beliefs about learning. Consider the <a href=""https://teaching.unsw.edu.au/beliefs"">Beliefs about Learning</a> developed by UNSW from their <a href=""https://teaching.unsw.edu.au/guidelines"">Guidelines that Inform Teaching</a> based on research into student learning.</p>
                  
                  <p>Good learning should be:</p>
                  
                  <ul>
                    <li>Engaging</li>
                    <li>Active</li>
                    <li>Situated and Authentic</li>
                    <li>Build confidence</li>
                    <li>Be guided be clear expectations and academic standards</li>
                    <li>Be challenging and supported</li>
                    <li>Be inclusive of diversity</li>
                  </ul>
                  
                  <p>Read through <a href=""https://teaching.unsw.edu.au/beliefs"">Beliefs about Learning</a>  and think about students in your context or your own experiences as a learner.</p>
                  
                  <blockquote>
                    <h3 id=""talking-point"">Talking point</h3>
                  
                    <p>Consider the following question and post your response for discussion.</p>
                  
                    <p>&#8216;The list of seven beliefs about learning is too long. We need a shorter list and will start by deleting one item from the list.&#8217;</p>
                  
                    <p>Identify the &#8216;Belief about learning&#8217; that should be removed from the list and explain why you made this decision.</p>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.9","Your experiences of learning","Discussion","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/162696","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Think back over your experience as a learner. You probably remember some very positive learning situations and others that were not so good. Use these experiences to reflect on the following questions.</p>
                  
                  <p>Keep a record of your answers as part of your reflective journalling.</p>
                  
                  <p><strong>Reflection point</strong></p>
                  
                  <p>Describe a good learning experience that you have had (in any setting not just formal education):</p>
                  
                  <ul>
                    <li>Describe what made it good</li>
                    <li>How did you feel at the beginning and end of the experience?</li>
                  </ul>
                  
                  <p>Describe a bad earning experience that you have had (in any setting not just formal education):</p>
                  
                  <ul>
                    <li>Describe what made it bad</li>
                    <li>How did you feel at the beginning and end of the experience?</li>
                  </ul>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
"1.10","Introduction to theories of learning","Article","","","Week 1","2017-03-13","13 Mar","Week 1: Student approaches to learning","https://www.futurelearn.com/courses/learning-teaching-university/1/steps/162698","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>There has been a lot of research into students&#8217; ideas  of, and approaches to, learning.  One approach is that students think about learning in six qualitatively different ways:</p>
                  
                  <ol>
                    <li>An increase in knowledge</li>
                    <li>Memorising and reproducing knowledge</li>
                    <li>Acquiring facts and procedures for later application and practice</li>
                    <li>The abstraction of meaning</li>
                    <li>An interpretive process to understand and see reality in a different way, and</li>
                    <li>Self-development and changing as a person.</li>
                  </ol>
                  
                  <p>(Seminally by Saljo, 1979 and then Marton, Dall&#8217;Alba &amp; Beaty, 1993)</p>
                  
                  <p>The first three (1-3) are examples of reproducing knowledge and the last three (4-6) are examples of  transformative knowledge.</p>
                  
                  <h3 id=""theories-of-learning"">Theories of learning</h3>
                  
                  <p>There are many <a href=""http://hotel-project.eu/sites/default/files/Learning_Theory_v6_web/Learning%20Theory.html"">theories of learning</a> to help us better understand how students learn.</p>
                  
                  <p>The key theories and educational approaches used in this that frame this course are:</p>
                  
                  <ul>
                    <li>Constructivism</li>
                    <li>Student-centred learning</li>
                    <li>Deep, surface and strategic approaches</li>
                    <li>Experiential and work-integrated learning</li>
                    <li>Reflective practice</li>
                  </ul>
                  
                  <h3 id=""constructivism"">Constructivism</h3>
                  
                  <p>Constructivism is the process where  students <strong>learn by constructing knowledge and meaning from their experiences</strong>.</p>
                  
                  <p>This construction of knowledge:</p>
                  
                  <ul>
                    <li>is based on previous understanding and experience,</li>
                    <li>may occur through interactions with others and</li>
                    <li>positions the learner at the centre of activity.</li>
                  </ul>
                  
                  <p>In <strong>social constructivism</strong>, knowledge is constructed through interaction with others.</p>
                  
                  <p><strong>Optional activity</strong>:
                  To learn more about how students learn take a look at at Section 3, &#8220;Understanding&#8221;, of the <a href=""https://youtu.be/iMZA80XpP6Y?t=6m18s"">Teaching Teaching &amp; Understanding Understanding</a> video (6:18).</p>
                  
                  <h3 id=""student-centred-learning"">Student-centred learning</h3>
                  <p>A basic principle of constructivism is that the student is at the centre of learning. The students&#8217; needs and interests are the starting point for learning and teaching activities. Students also have an active role and responsibility for learning and the teacher takes on  the role of facilitator.</p>
                  
                  <p>The principles of student-centred-learning include:</p>
                  
                  <ul>
                    <li>The learner has full responsibility for their own learning</li>
                    <li>Subject matter must have relevance and meaning for the learner</li>
                    <li>Involvement and participation are necessary for learning</li>
                    <li>Relationship between learners is important</li>
                    <li>The teacher should be a facilitator and resource person</li>
                  </ul>
                  
                  <p>(Brandes &amp; Ginnis, 1986, pp. 12-15)</p>
                  
                  <h3 id=""other-key-approaches-to-learning"">Other key approaches to learning</h3>
                  
                  <ul>
                    <li>Deep, surface and strategic approaches in <a href=""https://www.futurelearn.com/courses/learning-teaching-university/1/steps/148683"">Step 1.11</a></li>
                    <li>Experiential and work-integrated learning</li>
                    <li>Reflective practice in <a href=""https://www.futurelearn.com/courses/learning-teaching-university/1/steps/162686"">Step 1.6</a></li>
                  </ul>
                  
                  <blockquote>
                    <h3 id=""talking-point"">Talking point</h3>
                  
                    <p>Reflect on the theories of learning introduced in this step or on others with which you are familiar.</p>
                  
                    <p>Choose  a theory that has particular significance to you and your beliefs about learning and teaching.
                  In a post: name the theory and provide one statement that explains why this theory is important to you and  your learning and teaching beliefs.</p>
                  </blockquote>
                  
                  <p><strong>References</strong></p>
                  
                  <p><sub>Brandes, D &amp; Ginnis, P. (1986).  <em>A Guide to Student-Centred Learning</em>. Oxford: Basil Blackwell.</sub></p>
                  
                  <p><sub>Marton, F., Dall&#8217;Alba, G., &amp; Beaty, E. (1993). Conceptions of learning. <em>International Journal of Educational Research, 19</em>(3), 277&#8211;300. doi:<a href=""http://dx.doi.org/10.1016/0883-0355(93)90015-C"">http://dx.doi.org/10.1016/0883-0355(93)90015-C</a></sub></p>
                  
                  <p><sub>S&#228;lj&#246;, R. (1979). Learning about learning. <em>Higher Education, 8</em>(4), 443-451.</sub></p>
                  
                  <h3 id=""want-to-know-more"">Want to know more</h3>
                  
                  <p>If you would like to more about this topic of introduction to theories of learning there is an additional resource listed in the <a href=""https://ugc.futurelearn.com/uploads/files/02/95/029505c6-47b0-4bf0-be3e-f19cb9c85dc0/ILT_1.10_Want_to_know_more.pdf"">Want to know more.pdf</a> for this step.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Sydney</p>
                  </div>
                </div>
                ]"
