"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Welcome and orientation","Article","","","Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/50989","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Welcome and orientation
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic/1/steps/50989/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">139 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.2","Direct proportionality","Video","02:12",132,"Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/40308","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                  </div>
                </div>
                ]"
"1.3","Direct proportionalities from daily life","Article","","","Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/38891","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Direct proportionalities from daily life
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic/1/steps/38891/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">206 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.4","Thales and the measurement of the Great Pyramid","Article","","","Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/52328","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Thales and the measurement of the Great Pyramid
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic/1/steps/52328/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">195 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.5","Australian bush tucker","Article","","","Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/40337","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Australian bush tucker
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic/1/steps/40337/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">242 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.6","How fast is your internet?","Article","","","Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/40336","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    How fast is your internet?
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic/1/steps/40336/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">315 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.7","Direct proportions","Quiz","","","Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/51012","[]"
"1.8","The Cartesian plane and the beauty of graph paper","Video","06:00",360,"Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/54218","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                  </div>
                </div>
                ]"
"1.9","Points and lines","Article","","","Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/40254","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Points and lines
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic/1/steps/40254/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">113 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.10","Slopes of lines — as well as pyramids, railways and roofs","Article","","","Week 1","2015-10-12","12 Oct","Week 1: Direct proportions and the geometry of lines","https://www.futurelearn.com/courses/maths-linear-quadratic/1/steps/46202","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Slopes of lines &#8212; as well as pyramids, railways and roofs
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic/1/steps/46202/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">125 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
