"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Welcome and orientation","Article","","","Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86368","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Welcome and orientation
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86368/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">96 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.2","Direct proportionality","Video","02:12",132,"Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86351","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5316627/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5316627/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.3","Direct proportionalities from daily life","Article","","","Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86352","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Direct proportionalities from daily life
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86352/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">166 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.4","Thales and the measurement of the Great Pyramid","Article","","","Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86353","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Thales and the measurement of the Great Pyramid
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86353/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">132 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.5","Australian bush tucker","Article","","","Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86354","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Australian bush tucker
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86354/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">192 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.6","How fast is your internet?","Article","","","Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86355","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    How fast is your internet?
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86355/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">218 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.7","Direct proportions","Quiz","","","Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86356","[]"
"1.8","The Cartesian plane and the beauty of graph paper","Video","06:00",360,"Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86345","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5316630/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5316630/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.9","Points and lines","Article","","","Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86346","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Points and lines
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86346/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">93 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.10","Slopes of lines — as well as pyramids, railways and roofs","Article","","","Week 1","2016-06-27","27 Jun","Week 1: Direct proportions","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86347","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Slopes of lines &#8212; as well as pyramids, railways and roofs
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86347/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">110 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
