"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Military Ethics","Video","03:01",181,"Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/61475","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5720374/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5720374/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.2","What will you learn?","Article","","","Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/57393","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Working through these topics  will develop your ability to:</p>
                  <ol>
                  <li> Apply informed ethical thinking to issues that arise within the military profession.</li>
                  <li> Share your understanding of the ethical constraints on the use of force in armed conflict.</li>
                  <li> Identify key issues relevant to the way new and emerging technological developments are affecting the conduct of war.</li>
                  </ol>
                  
                  <p>The core learning materials are videos supported by relevant readings.  As we explore each topic we encourage you to make comments, share your experiences and ask or answer questions about these materials.</p>
                  
                  <p>You can use weekly quizzes to check your understanding of the information covered. Rather than being designed to test your memory the quizzes are included to guide your learning, and as such you can attempt them multiple times, until you are happy with your level of understanding.</p>
                  
                  <p>There are also discussion questions to help you explore and extend your understanding of specific aspects of the course. Sharing and discussing your findings is an excellent way to discover new ideas and expand your learning. As mentioned,  you are encouraged to start your own discussions related to the topics in the comments section under each video and reading.</p>
                  
                  <p>The lead educator for this course is <a href=""https://www.futurelearn.com/profiles/1712684"">Dr Deane-Peter Baker</a> from the University of New South Wales Canberra (you can learn more about him on the next page). Adam Gastineau will be assisting Dr Baker.   Please visit their profiles and follow them so you can easily see  replies and comments.</p>
                  
                  <h2 id=""downloading-videos"">Downloading videos</h2>
                  <p>You can download the videos to watch offline or watch the videos in more than one sitting if you prefer.</p>
                  
                  <h2 id=""pre-course-survey"">Pre-course survey</h2>
                  <p>To help us understand why you&#8217;re taking this course and make sure we meet your needs, please take a few minutes to complete <a href=""https://www.surveymonkey.com/r/FLmilitaryethics_pre"">this online survey</a>.</p>
                </div>
                ]"
"1.3","The guy in the videos","Article","","","Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/56925","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    The guy in the videos
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/military-ethics/1/steps/56925/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">112 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.4","Coming up this week","Article","","","Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/53224","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>While military ethics is pretty unique, it&#8217;s still a part of ethics in general, and to get a good grip on military ethics requires a foundational understanding of the dominant approaches to ethics that apply across the spectrum of ethics.</p>
                  
                  <p>So that&#8217;s the task of this week and next week, to gain an understanding of military ethics&#8217; more general foundations. This week we begin by introducing a key distinction in ethics &#8211; that between ethical dilemmas and tests of integrity. We then go on to explore two of the most influential approaches to addressing ethical dilemmas, consequentialism (focused on utilitarianism) and deontological ethics (focused on Kantian ethics).</p>
                  
                  <p>Before we get started, here are a few pointers if you are new to FutureLearn.</p>
                  
                  <p>Visit <a href=""https://www.futurelearn.com/about/how-it-works"">How it Works</a> for support.</p>
                  
                  <p>David Thair, Social Lead @ FutureLearn provides some <a href=""https://about.futurelearn.com/blog/6-social-learning-tips/"">tips</a> for getting the most from FutureLearn discussions.</p>
                  
                  <p>If you have further questions about how the site works, take a look at the <a href=""https://about.futurelearn.com/about/faq/?category=course-sign-up-and-completion"">FutureLearn help pages</a>, or click the grey question mark icon at the bottom right corner of the page to ask for help.</p>
                </div>
                ]"
"1.5","Morality and ethics","Video","08:53",533,"Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/53267","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5593222/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5593222/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.6","The right thing to do?","Discussion","","","Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/56200","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In the video you&#8217;ve just watched there&#8217;s a fictional case in which a patrol commander must make a difficult decision over whether to aid some wounded children or go to the aid of another patrol that has come under fire.</p>
                  
                  <p>What do you think the patrol commander should do, and why? (We&#8217;ll come back to this case later in the course).</p>
                  
                  <p>Add your thoughts on these matters to the discussion below- and remember you can reply to and &#8216;like&#8217; others&#8217; comments.</p>
                </div>
                ]"
"1.7","Reading: Ethical dilemmas and tests of integrity","Article","","","Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/53225","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Dr Stephen Coleman, Ethics, UNSW Canberra</p>
                  
                  <p>Ethics is a branch of philosophy, which examines questions about human conduct, specifically addressing questions of what is right and wrong, just and unjust, virtuous and non-virtuous in such conduct. Thus many questions or claims are, in one way or another, issues of ethics. For example, a person who asserts the claim that &#8220;might makes right&#8221; is making a statement about ethics, as is a person who claims that it is acceptable to lie in certain circumstances, as is a person who suggests that abortion is always wrong.</p>
                  
                  <p>Any decision which involves an ethical component is an ethical decision (i.e. it is a decision about an ethical issue) and that is what I mean when I use the term in the following discussion. It is important to be clear about this point, since this usage of the term doesn&#8217;t necessarily match up to everyday discussions. If, for example, a person says something like &#8220;Bill made a very ethical decision when he reported his supervisor for harassing that new employee&#8221;, then they are clearly using the term &#8216;ethical decision&#8217; as a shorthand for &#8216;ethically correct decision&#8217;. However, there can be good ethical decisions and there can be bad ethical decisions, so in this discussion the term will be used simply to refer to a decision which has an ethical component.</p>
                  
                  <p>Given that an ethical decision is a decision which has an ethical component, and that ethics addresses questions of right and wrong in human behaviour, it should be obvious that ethical decision-making is something which everyone is actually very familiar with, whether they are aware of this or not. A decision to participate in a protest about a newly proposed government policy is an ethical decision, as is a decision to knowingly falsify an income tax return, as is a decision to tell a cashier that they have given you too much change after your purchase, as is a decision to go to war.</p>
                  
                  <p>While ethical decision-making is something which everyone actually engages in, not all ethical decisions are equally important. In the decisions mentioned above, telling the cashier they having given you too much change is obviously a pretty minor decision, while going to war is equally obviously a very serious decision. In the same way that some decisions are more important than others, some ethical decisions are more difficult than others, and it is important to note that there are two, quite distinct, ways in which difficulty might arise. When faced with, or examining, a difficult ethical decision, it is important to understand where the difficulty lies, since recognising this helps to clarify the problems involved in the decision. The first way in which an ethical decision might be difficult is because it is very hard to work out what the right thing to do actually is; this might be because there are a lot of competing considerations, all more or less equally important, or it might be because every option in a particular situation is a bad option. The second way in which an ethical decision might be difficult is because it might be hard, for a range of reasons, to actually do the right thing, and this sort of difficulty can arise even when it is perfectly obvious what the right thing to do actually is. Difficult ethical decisions of the first sort, when it is hard to work out what the right thing to do is, can be referred to as ethical dilemmas (or sometimes, as a test of ethics). Difficult ethical decisions of the second sort, where it is hard to actually do the right thing, can be referred to as tests of integrity.</p>
                  
                  <p>Tests of integrity and ethical dilemmas may be equally difficult to deal with, but the difficulty in each of these situations lies in a different area. In the case of an ethical dilemma, the difficulty is in deciding what the right thing to do is. In the case of a test of integrity, the difficulty lies not in deciding what the right thing to do is, but in actually doing it. Sometimes a particular decision might involve both types of difficulty, so even after resolving the ethical dilemma (i.e. working out what the right thing to do is) a person is still faced with a test of integrity (difficulty in actually doing the right thing). However, most problematic ethical decisions do fit relatively neatly into one of these two categories.</p>
                  
                  <p>It might seem a little odd to suggest that a generally good person might actually have difficulty in doing the right thing, but there are actually a range of reasons why it may be difficult for a person to do what they know to be the right thing in a situation where they are faced with a test of integrity. It may be, for example, that doing the right thing is unpopular, either with that person&#8217;s friends, family or peers, or with the community at large. Or it might be that there is a lot of pressure, in one way or another, placed on that person to not do the right thing, in that they might be bribed, bullied, or blackmailed. The person might have a lot to gain from not doing the right thing, such as significant financial rewards, or the person or those close to them might have a lot to lose from the person doing the right thing in this case. But if a person knows what the right thing to do is, but find it difficult to actually do the right thing, then they are facing a test of integrity, whether the difficulty is caused by pressure, or the chance of gain, or any of the other reasons just mentioned.</p>
                  
                  <p><strong>References and Further Reading: </strong><br/>
                  <br/>Stephen Coleman. 2009. &#8216;The Problems of Duty and Loyalty&#8217;. <em>Journal of Military Ethics</em>, 8 (2), pp. 105 - 115
                  <br/><br/>Stephen Coleman. 2013. <em>Military Ethics: An Introduction with Case Studies</em>. Oxford University Press, pp 1 &#8211; 7.</p>
                  
                  <p><strong>ACKNOWLEDGEMENT</strong></p>
                  
                  <p>This is an extract from <em>Key Concepts in Military Ethics</em>, a book edited by Dr Deane-Peter Baker and published in 2015 by the University of New South Wales Press. The extract is republished here free of charge by kind permission of the publisher. Any onward transmission of this text, without express permission of the publisher, is a violation of copyright. To purchase your own copy of the book (which contains chapters on an extensive range of topics beyond what is covered in this course), please visit the publisher&#8217;s website or any of the major online booksellers.</p>
                  <div class=""body_copyright"">
                    <p>&#169; University of New South Wales Press Ltd 2015</p>
                  </div>
                </div>
                ]"
"1.8","Consequences","Video","06:09",369,"Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/53268","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6152518/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6152518/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.9","Reading: Consequentialist ethics","Article","","","Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/53226","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p><strong>Dr. Deane-Peter Baker, Ethics, UNSW Canberra</strong></p>
                  
                  <p>For many people today, when faced with an ethical dilemma, their intuitive response will be to weigh the consequences of each possible course of action against one another, and choose the course of action which results in the best overall consequences for all the people affected. Perhaps without realising it, those who make their ethical decisions following this intuition are applying the central tenet of an ethical system called utilitarianism, a form of consequentialism, which was developed in England in the 18th Century. There are other approaches to ethics that focus on consequences, or contain some element of consequentialism, but utilitarianism so dominates this approach to ethics that it is the only theory we will consider here.</p>
                  
                  <p>The early utilitarians, most notably Jeremy Bentham (1748 &#8211; 1842) &#8211; often thought of as the &#8216;father&#8217; of utilitarianism &#8211; and John Stuart Mill (1806-1873), were responding to a social environment in which the rise of secularism and atheism had left something of an intellectual vacuum. If God does not define for us what is right and wrong, they asked themselves, then how shall we know what to do? Influenced also by the rise of modern science, Bentham found what he believed to be the answer in the &#8216;two sovereign masters&#8217; that all of us are subject to, namely pain and pleasure. The utilitarians reasoned that if pain is bad and pleasure is good then the clearest answer to the question &#8216;what should we do&#8217; is to do that which minimises pain and maximises pleasure for the greatest number of those who are affected by our actions. The most well-known statement of utilitarianism is that it defines right actions by what results in &#8216;the greatest happiness for the greatest number&#8217;. Expressed in neutral terms (because, after all, some people prefer to be unhappy!), the idea is to maximise utility (i.e. whatever it is that each individual needs/wants/desires/prefers) for the greatest number.</p>
                  
                  <p>As simple as this all sounds, there are a number of challenging questions within utilitarianism, and as a result there are different kinds of utilitarianism espoused by groups of thinkers who give different answers to those questions. When considering a group of people affected by some possible action, should we be interested in maximising the overall amount of utility in the group (in which case it is not a problem if the act makes some people very happy, and most people not much happier, or even a bit unhappy), or should we be interested in maximising utility for each person affected by the action? Should we weigh all forms of utility equally? (Bentham thought so, but Mill thought we should give more weight to what he called &#8216;higher pleasures&#8217;). Do we have to weigh up all the potential consequences for every decision we make, or are there some rules we can follow that will generally lead to utility maximising outcomes? (Those who think there are such rules are called &#8216;rule utilitarians&#8217;).</p>
                  
                  <p>The two great strengths of utilitarianism are, firstly, that it takes consequences seriously, something that most of us find intuitively appealing; and, secondly, that (Mill aside) it is essentially neutral about what sorts of things matter, or are important &#8211; all that matters is whether or not they have utility for people. So in that respect it seems to maximise freedom of choice and equality of choice &#8211; it doesn&#8217;t matter whether it is listening to opera or collecting toothpicks that gives you utility, it&#8217;s that it gives you utility that matters.</p>
                  
                  <p>That&#8217;s not to say that utilitarianism doesn&#8217;t face some serious challenges. In a way, the strongest objections to utilitarianism are the flip side of its greatest strengths. While most people intuitively agree that consequences matter in ethics, the exclusive focus on overall consequences in utilitarianism and other forms of consequentialism (more about those below) seems to overlook the moral importance of the individual. If, say, the act that will maximise utility for most of the people affected involves harming or disrespecting an individual, there seems to be nothing in utilitarianism that would suggest we should hesitate to endorse that act. Likewise, many have objected that the focus on good consequences can override considerations of justice. The idea that &#8216;the ends justify the means&#8217; is one that sits uncomfortably for many of us. Indeed, this kind of concern led Karl Popper one of the greatest philosophers of the twentieth century, to state that &#8220;it is not only impossible but very dangerous to attempt to maximize the pleasure or the happiness of the people, since such an attempt must lead to totalitarianism&#8221; (Popper 2002, 339). (Popper did not propose abandoning utilitarianism, but instead advocated for what he called &#8216;negative utilitarianism&#8217;, which replaces the goal of maximising pleasure with minimising pain.)</p>
                  
                  <p>The focus on consequences also, in most forms of utilitarianism, largely treats motives as irrelevant &#8211; it&#8217;s outcomes that matter, not intentions. But most of us would agree that it does matter, ethically, what our motives and intentions are in doing what we do. Consequences are, furthermore, often difficult to predict in advance, particularly when self-interest is involved (which is more often than not the case in ethics), which makes basing our ethical decisions entirely on our projections of future outcomes seem somewhat iffy. A related problem is that overall utility is difficult to calculate. Bentham was enthusiastic about the potential of reducing utilitarianism to a kind of scientific calculation, measuring &#8216;utils&#8217; and &#8216;hedons&#8217; in terms of such considerations as intensity, duration, certainty and remoteness. Most other utilitarians, however, have distanced themselves from this sort of thinking, and acknowledge that there&#8217;s an inherent difficulty in trying to weigh up different, and sometimes incommensurable, goods. How, for example, are we to weigh the utility of a chocolate bar against the utility of a beautiful sunset?</p>
                  
                  <p>Another set of challenges that utilitarianism faces centre on the neutrality of utility. As we&#8217;ve seen, even Mill was uncomfortable with this &#8211; do we really want to say that collecting toothpicks is as valuable and meaningful an activity as enjoying a great opera? If (as is undoubtedly the case) more people get more pleasure overall from watching television dramas than those who gain satisfaction from studying ancient manuscripts, are we really going to say that the money that is spent on preserving and protecting ancient manuscripts should be re-allocated to television drama production?</p>
                  
                  <p>Another challenge faced by utilitarianism is that it is extremely demanding. Often people think they are applying utilitarian thinking when they choose actions that lead to the best consequences for themselves and those they care about. But this is not utilitarianism at all, it is a largely discredited form of consequentialism known as &#8216;ethical egoism&#8217; (discredited because it relies on the dubious claim that if we each seek our own happiness and ignore questions about the happiness or well-being of others, things will generally turn out for the best for everyone). The true utilitarian knows that when she weighs up courses of action her own happiness or utility, and that of those she cares about, should weigh no more than the happiness or utility of every other person affected, even complete strangers or enemies.
                  Despite these challenges and its comparatively short history utilitarianism is today arguably the most influential single approach to applied ethics.</p>
                  
                  <p><strong>References and Further Reading:</strong></p>
                  
                  <p>Simon Blackburn. 2009. <em>Ethics: A Very Short Introduction</em>. Oxford University Press.
                  <br/>Karl Popper. 2002. <em>The Open Society and Its Enemies: Volume 2</em>. Routledge. 
                  <br/>Russ Shafer-Landau. 2014. <em>The Fundamentals of Ethics</em>. Oxford University Press.
                  <br/>William H. Shaw. 2015. <em>Utilitarianism and the Ethics of War</em>. Routledge.
                  <br/>Sinnott-Armstrong, Walter. 2013. <a href=""http://plato.stanford.edu/entries/consequentialism/"">&#8216;Consequentialism&#8217;</a> <em>Stanford Encyclopedia of Ethics</em>.</p>
                  
                  <p><strong>ACKNOWLEDGEMENT</strong></p>
                  
                  <p>This is an extract from <em>Key Concepts in Military Ethics</em>, a book edited by Dr Deane-Peter Baker and published in 2015 by the University of New South Wales Press. The extract is republished here free of charge by kind permission of the publisher. Any onward transmission of this text, without express permission of the publisher, is a violation of copyright. To purchase your own copy of the book (which contains chapters on an extensive range of topics beyond what is covered in this course), please visit the publisher&#8217;s website or any of the major online booksellers.</p>
                  <div class=""body_copyright"">
                    <p>&#169; University of New South Wales Press Ltd 2015</p>
                  </div>
                </div>
                ]"
"1.10","Respect and principle","Video","09:17",557,"Week 1","2016-02-29","29 Feb","Week 1: Foundations - Part 1","https://www.futurelearn.com/courses/military-ethics/1/steps/53269","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6152613/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6152613/download/hd"">HD</a>
                  </div>
                </div>
                ]"
