"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Welcome to the course","Video","01:28",88,"Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/107477","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/7867062/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/7867062/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.2","Introduction","Video","01:34",94,"Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/110511","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/7867080/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/7867080/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.3","Pre-course survey","Exercise","","","Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/107637","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Below is a link to a Pre-course survey. This survey is entirely optional, but can be filled out, even if you start the course late or leave early.</p>
                  
                  <p>Your feedback is invaluable to us in improving the course and learning experience for future participants. If you choose to complete the survey, please complete the Consent Form which precedes the survey. Some data gathered may be used for research purposes.</p>
                  
                  <p>In addition, if you are yet to complete the More About You survey from FutureLearn or need to update your details, you can complete it <a href=""https://www.futurelearn.com/user/more-about-you"">HERE</a>.</p>
                  
                  <p><strong>If you experience any technical difficulties in accessing the activity, please send us a screen shot, description of your operating system (OS), web browser and steps taken to MOOCs@unsw.edu.au</strong></p>
                  
                  <p>Select the <strong>Launch button</strong> below to begin. Once you have completed the survey, select to go <strong>Back to course</strong> in the top left corner. You can then mark the step and complete and move on to the next step.</p>
                  
                  <p><strong>Please note: We are aware that there are some browser issues that some may experience. If you are on a mobile device you should be able to zoom and pan with the pinch gesture. If you are on a desktop and the scrollbar is not visible reduce the width of your window or click and drag when your cursor turns into a crosshair. This survey does not work on Android devices. If you would like to submit a response to the survey please use a non-Android device.</strong></p>
                </div>
                ]"
"1.4","Introductions and motivation","Discussion","","","Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/107479","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Why did you enrol in this course? What do you hope to learn?</p>
                  
                  <p>In this course, we will be discussing a lot of current issues in the field of personalised medicine, so let&#8217;s get to know each other a little better and discuss why we are all here.</p>
                  
                  <p><strong>In this activity, we&#8217;d like you to introduce yourself to the other learners and to tell us why you enrolled!</strong></p>
                  <ul>
                  <li><strong>Where are you from?</strong> 
                  </li><li><strong>What do you do?</strong> 
                  </li><li><strong>Why are you interested in personalised medicine and what would you like to learn in this course?</strong></li>&lt;/ul&gt;
                  <br/>
                  
                  You can Like and reply to comments posted by others and follow other like-minded learners you find along the way. This will make it easier for you to see their comments on future steps by filtering the discussion.
                  </ul>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.5","Basic medical genetics","Video","06:09",369,"Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/107480","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/7867061/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/7867061/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.6","Are you similar or different to your family?","Discussion","","","Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/107481","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Physical traits are a simple way to begin to think about how genes are inherited from one generation to another.</p>
                  
                  <p>How much of what we are is determined by our genes and how much by nature? In this discussion, let&#8217;s begin thinking about the influence of nature versus nurture.</p>
                  
                  <p><strong>In this activity, consider the following questions:</strong></p>
                  <ul>
                    <li><strong>Do you look similar to your parents and siblings?</strong></li>
                    <li><strong>Are you taller or shorter, do you have the same eye colour perhaps?</strong></li>
                    <li><strong>How are you different?</strong></li>
                    <li><strong>Are you aware of diseases that ""run in families""?</strong></li>
                    <li><strong>Do these genetic traits or diseases appear consistently in your family tree or are they random?</strong></li>
                  </ul>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.7","Environment, genetics or both?","Exercise","","","Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/107634","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Before we delve into too much content, we are interested to learn what you think about the contribution of our genes (nature) or our environment (nurture) to personal traits and diseases.</p>
                  
                  <p>In the following activity you can select to what extent genes or the environment contribute to the personal traits and diseases listed.</p>
                  
                  <p>Upon completion of the activity, you will be shown the average of genetic or environmental contribution to each trait or disease as voted by your peers. Take a moment to look at the results and consider how they differ with your  choices. Poll results will update in real time so remember to check back regularly to see how the results change over time! You can access the results <a href=""https://unswmooc.typeform.com/report/x4YX8F/nNB4"">HERE</a>.</p>
                  
                  <p><strong>If you experience any technical difficulties in accessing the activity, please send us a screen shot, description of your operating system (OS), web browser and steps taken to MOOCs@unsw.edu.au</strong></p>
                  
                  <p>Select the <strong>Launch button</strong> below to begin. Once you have completed the exercise, select to go <strong>Back to course</strong> in the top left corner. You can then mark the step and complete and move on to the next step.</p>
                </div>
                ]"
"1.8","Nature or nurture? Your thoughts","Discussion","","","Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/109218","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Were you surprised by the group results?</p>
                  
                  <p>As you can see from the previous activity, our perceptions of the role genetics and the environment play on development of personal traits and disease is hard to quantify.</p>
                  
                  <p><strong>Before moving on, consider the following:</strong></p>
                  <ul>
                    <li><strong>Were your answers very different from those of the whole cohort?</strong></li>
                    <li><strong>Why do you think this was?</strong></li>
                  </ul>
                  <p>In the discussion let us know which diseases or traits surprised you.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.9","The Human Genome Project","Video","04:20",260,"Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/107484","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/7867064/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/7867064/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.10","Advances in genetic sequencing","Video","03:57",237,"Week 1","2016-09-19","19 Sep","Week 1: Causes of Disease and the Genetic Revolution","https://www.futurelearn.com/courses/personalised-medicine/1/steps/107486","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/7867136/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/7867136/download/hd"">HD</a>
                  </div>
                </div>
                ]"
