"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Let's get started!","Video","02:48",168,"Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/96834","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6797704/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6797704/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.2","Re-enchanting the city and you!","Article","","","Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/96835","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Re-enchanting the city and you!
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/re-enchanting-the-city/2/steps/96835/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">102 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.3","Meet the team","Video","04:38",278,"Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/96836","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6802846/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6802846/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.4","Defining the built environment","Video","06:01",361,"Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/96837","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6802867/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6802867/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.5","What is enchanting about your city?","Discussion","","","Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/116555","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    What is enchanting about your city?
                    
                  </h1>
                </div>
                ]"
"1.6","What contributes to enchantment?","Exercise","","","Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/96839","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In your opinion, what are the most important elements of a city, that contribute to enchantment? We would recommend you choose your top three (3) elements from the list provided in the following poll.</p>
                </div>
                ]"
"1.7","Setting the scene","Video","06:51",411,"Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/96840","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6802889/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6802889/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.8","Central Park Sydney orientation","Article","","","Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/112729","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Central Park Sydney orientation
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/re-enchanting-the-city/2/steps/112729/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">61 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.9","Hyperdensity and civic delight","Article","","","Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/96841","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>According to Associate Professor Vishaan Chakrabarti, hyperdensity is good urban design.</p>
                  
                  <p>Vishaan Chakrabarti is Founder of the Partnership for Architecture and Urbanism (PAU), a New York architecture and planning practice dedicated to the advancement of cities, and was previously a partner at SHoP Architects. He is also an Associate Professor of Practice at Columbia University. Chakrabarti argues that hyperdensity, defined as density sufficient to support intensive public transportation systems - typically regarded as 30 dwelling units per acre or 75 units per hectare, contributes to health, prosperity and sustainability of cities.</p>
                  
                  <p><img src=""https://www.be.unsw.edu.au/sites/default/files/upload/mooc/hyperdensity.jpg"" alt=""Density""/>
                  <sub>Hyperdensity: 30 dwelling units per acre / 75 units per hectare</sub></p>
                  
                  <p>Density is a measure of the number of dwellings or population size in a given land area. It is often discussed and visualised in terms of the building height/number of storeys in relation to the amount of open space, as shown in the <a href=""https://ugc.futurelearn.com/uploads/files/8e/ed/8eedfd67-9166-48a2-809c-c97afcdf4685/visualisingdensity.pdf"">visualising density infographic</a>. This can also be seen in seen in the <a href=""http://www.ecodencity.com.au/density-simulator/"">Urban Taskforce Australia&#8217;s Density Simulator</a>.</p>
                  
                  <p>Chakrabarti has written a book called &#8216;Country of Cities: A Manifesto for an Urban America&#8217; and an article titled <a href=""https://placesjournal.org/article/building-hyperdensity-and-civic-delight/"">Building Hyperdensity and Civic Delight</a>. He also gave a public lecture at UNSW Australia on this topic, which we have formatted into 3 episodes, as videos on YouTube. These are provided as additional resources to further explain the importance of density and how it can be positive for cities in terms of beauty, joy, public health, economy and the environment.</p>
                  
                  <p><strong>1. <a href=""https://youtu.be/BpuRJwkwsO4"">Introduction</a> (6:17)</strong></p>
                  
                  <p>Vishaan Chakrabarti introduces the concept of hyperdensity, linking density to sustainability, and discussing why cities are better in reducing the carbon footprint per capita.</p>
                  
                  <p><strong>2. <a href=""https://youtu.be/kXukRMSO26M"">Hyperdensity in context</a> (12:47)</strong></p>
                  
                  <p>With the premise that cities are fundamentally better based on the metrics of the environment, economy, public health and joy, Vishaan Chakrabarti discusses how to build better cities.</p>
                  
                  <p><strong>3. <a href=""https://youtu.be/MA4H2lS67pE"">Hyperdensity design by SHoP Architects</a> (6:15)</strong></p>
                  
                  <p>Vishaan Chakrabarti discusses hyperdense architecture by SHoP Architects, including the Barclay&#8217;s Arena, Gotham Gateway, Essex Crossing Masterplan, and Domino Sugar Refinery Masterplan.</p>
                  
                  <blockquote>
                    <p><strong>Talking Points</strong></p>
                  
                    <p>The hyperdensity model proposed by Chakrabati suggests &#8220;leaving nature natural&#8221;, with cities having concentrated infrastructure and shared resources. Do you think it is feasible or even possible to leave nature natural? Do you see hyperdensity as something that could be applied to your context? Explain your reasons (up to 150 words).</p>
                  
                    <p>Alternatively, add comments to at least 3 other responses from your peers with your thoughts on their ideas.</p>
                  
                    <p>Add Likes on comments to indicate ones that provide strong responses.</p>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.10","Glossary of terms","Article","","","Week 1","2016-09-05","5 Sep","Week 1: What is the Built Environment?","https://www.futurelearn.com/courses/re-enchanting-the-city/2/steps/96842","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>This brief glossary defines key built environment terms, names and other information covered in the course.</p>
                  
                  <p>You can download this list as a <a href=""https://ugc.futurelearn.com/uploads/files/02/07/02077ca4-db80-4fef-9573-528514e62fdb/Glossary_of_Terms_TheCity2.pdf"">PDF document</a>.</p>
                  
                  <p><strong>
                  <a href=""#a"">A</a> <a href=""#b"">B</a> <a href=""#c"">C</a> <a href=""#d"">D</a> <a href=""#e"">E</a> <a href=""#f"">F</a> <a href=""#g"">G</a> <a href=""#h"">H</a> <a href=""#i"">I</a> <a href=""#j"">J</a> <a href=""#k"">K</a> <a href=""#l"">L</a> <a href=""#m"">M</a> <a href=""#n"">N</a> <a href=""#o"">O</a> <a href=""#p"">P</a> <a href=""#qu"">Q</a> <a href=""#r"">R</a> <a href=""#s"">S</a> <a href=""#t"">T</a> <a href=""#u"">U</a> <a href=""#v"">V</a> <a href=""#w"">W</a> <a href=""#x"">X</a> <a href=""#y"">Y</a> <a href=""#z"">Z</a> <a href=""#numbers"">0-9</a>
                  </strong></p>
                  
                  <p><a href=""#top""> </a>
                  <a href=""#glossary-end"">Jump to bottom </a></p>
                  
                  <h2 id=""a"">A</h2>
                  
                  <h3 id=""adaptive-reuse"">Adaptive reuse</h3>
                  <p>Adaptive reuse is the process of repurposing buildings - old buildings that have outlived their original purposes - for different uses or functions while retaining their historic features.</p>
                  
                  <h3 id=""amenity"">Amenity</h3>
                  <p>The qualities, characteristics and attributes people value about a place which contributes to their quality of life. These include the physical landscape or streetscape; areas of vegetation and public and private open space for recreation; urban design, including the scale and dominance of buildings; historic and cultural heritage; public views and outlooks; privacy; physical safety; and the accessibility of places.</p>
                  
                  <h3 id=""architecture"">Architecture</h3>
                  <p>Architecture is a general term to describe buildings and other physical structures of the built environment.</p>
                  
                  <p>Architects are professionally trained designers who work on buildings and the built environment. They combine creative design with a wide range of technical knowledge to provide integrated solutions for built and natural environments.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""b"">B</h2>
                  
                  <h3 id=""biophilia"">Biophilia</h3>
                  <p>The hypothesis that humans have an inherent inclination to affiliate with nature / Affection for plants and other living things (Grinde &amp; Patil, 2009).</p>
                  
                  <h3 id=""botanist"">Botanist</h3>
                  <p>Botany is the branch of the branch of biology that studies all forms of plant life, their structure, physiology, ecology, and classification. Botanists apply this knowledge to areas such as conservation, agriculture, horticulture and to the management of natural resources.</p>
                  
                  <h3 id=""built-environment"">Built Environment</h3>
                  <p>The structures and places including buildings, streets, and other human-made structures in which we live, work and play, including land uses, transportation systems and design features. It also includes infrastructure such as regional roads and transport systems, energy distribution systems, lighting, water and waste treatment systems; all the things that support human life and the functioning of cities.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""c"">C</h2>
                  
                  <h3 id=""cantilever"">Cantilever</h3>
                  <p>An unsupported overhang acting as a lever, like a flagpole sticking out of the side of a wall.</p>
                  
                  <h3 id=""central-business-district-cbd"">Central Business District (CBD)</h3>
                  <p>The CBD or Central Business District is the focal point of a city. It is the commercial, office, retail, and cultural centre of the city and usually is the centre point for transportation networks.</p>
                  
                  <h3 id=""central-sydney-planning-committee-cspc"">Central Sydney Planning Committee (CSPC)</h3>
                  <p>The Central Sydney Planning Committee (CSPC) determines applications for major developments with an estimated cost of more than $50 million.</p>
                  
                  <h3 id=""city--town-planning"">City / Town Planning</h3>
                  <p>The profession that studies physical, social, and political systems and how the interactions between these systems can create urban environments that have desired effects on people, communities, and economies. (Saelens, Sallis, Black, &amp; Chen, 2003). In different places across the world, it can also be referred to as urban planning, regional planning, rural planning, or some combination.</p>
                  
                  <h3 id=""computer-aided-design-cad"">Computer-aided design (CAD)</h3>
                  <p>Computer-aided design (CAD) is the use of computer systems to aid in the creation, modification, analysis, or optimisation of a design.</p>
                  
                  <h3 id=""computer-numerical-control-cnc"">Computer Numerical Control (CNC)</h3>
                  <p>Computer Numerical Control (CNC) is a process in which the functions and motions of a machine tool, are controlled by means of a prepared program containing coded alphanumeric data.</p>
                  
                  <h3 id=""concept-design"">Concept design</h3>
                  <p>A concept design is a relatively unproven early proposition for the idea of a design. It is usually sketched or modeled and tested in various ways. Typically, multiple concepts are produced as part of the design process to thoroughly explore the possibilities for generating an optimum design solution.</p>
                  
                  <h3 id=""connectivity"">Connectivity</h3>
                  <p>The directness of travel between destinations, which is influenced by the kind of intersections and their density in a given area. (Gebel et al. 2005)</p>
                  
                  <h3 id=""construction-management"">Construction Management</h3>
                  <p>Construction Management is professional service that applies effective management techniques to the planning, design, and construction of a project from inception to completion for the purpose of controlling time, cost and quality.</p>
                  
                  <h3 id=""council"">Council</h3>
                  <p>In Australia, the six states and the Northern Territory have a level of local government in the form of councils. Councils handle community needs like waste collection, public recreation facilities and town planning. In the Australian Capital Territory, the responsibilities usually handled by local government are administered by a department of the territory government.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""d"">D</h2>
                  
                  <h3 id=""datum-line"">Datum line</h3>
                  <p>A line to which dimensions are referred on engineering drawings, and from which measurements are calculated.</p>
                  
                  <h3 id=""decentralised-energy-de"">Decentralised Energy (DE)</h3>
                  <p>Electricity production at or near the point of use, irrespective of size, technology or fuel used - both off-grid and on-grid.</p>
                  
                  <h3 id=""density"">Density</h3>
                  <p>The measure of the number of dwellings in a given land area. It can also be a measure of population in a given land area.</p>
                  
                  <h3 id=""design-guidelines"">Design guidelines</h3>
                  <p>A set of planning provisions intended to guide development toward a desired level of quality through the design of the physical environment.</p>
                  
                  <h3 id=""design-brief"">Design brief</h3>
                  <p>A statement of the goals, requirements and expectations for a design project prepared by a client to inform the designer what the project needs to achieve.</p>
                  
                  <h3 id=""design-research"">Design research</h3>
                  <p>Any research focused on clarifying the context for a new design that may influence its outcome. For example, this might encompass user research, market research or trend research.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""e"">E</h2>
                  
                  <h3 id=""ergonomics"">Ergonomics</h3>
                  <p>Application of scientific data based on the understanding of interactions among humans and other elements of a system, to arrive at a methodology of design of manmade objects/ environment  in order to optimise human well-being and overall system performance.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""f"">F</h2>
                  
                  <h3 id=""floor-space-ratio-fsr"">Floor Space Ratio (FSR)</h3>
                  <p>The ratio of the floor area of a building to its site area. FSR is one control used to define the size of a building and control the intensity of development on a parcel of land. FSR is used in NSW, Australia while Plot Ratio is used in Western Australia. In other countries, terms used include Floor Space Index (FSI), Floor Area Ratio (FAR), Gross Plot Ratio (GPR), Site Ratio.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""g"">G</h2>
                  
                  <h3 id=""genius-loci"">Genius loci</h3>
                  <p>The prevailing character or atmosphere of a place, with the additional meaning referring to a &#8216;spirit&#8217; of a place.</p>
                  
                  <h3 id=""gentrification"">Gentrification</h3>
                  <p>Gentrification is the process of renewal and rebuilding accompanying the influx of middle-class or affluent people into deteriorating areas that often displaces poorer residents.</p>
                  
                  <h3 id=""government-architect"">Government Architect</h3>
                  <p>An appointed officer of the State Government, managing the Government Architect&#8217;s Office (GAO), a multi-disciplinary consultancy operating on commercial principles providing architecture, design, and engineering services.</p>
                  
                  <h3 id=""greywater"">Greywater</h3>
                  <p>Greywater is wastewater from a range of sources including your bath, bathroom basin, laundry and shower. It doesn&#8217;t include blackwater such as wastewater from toilets.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""h"">H</h2>
                  
                  <h3 id=""heliostat"">Heliostat</h3>
                  <p>A heliostat (from helios, the Greek word for sun, and stat, as in stationary) is a device that includes a mirror and mechanical motor to move the mirror, so as to keep reflecting sunlight toward a predetermined target, compensating for the sun&#8217;s apparent motions in the sky. Some also included a computerised sun tracking system. The principal uses of heliostats are for daylighting (bringing daylight into a space that would otherwise be poorly illuminated), and in the generation of electricity in solar-thermal power stations.</p>
                  
                  <h3 id=""heritage"">Heritage</h3>
                  <p>A building of great historical or artistic value that has official protection to prevent it from being changed or destroyed.</p>
                  
                  <h3 id=""horticulturalist"">Horticulturalist</h3>
                  <p>Horticulture is a branch of agriculture that deals with the art, science, technology and business of growing plants. Horticulturalists may create landscapes that provide ecosystem services, such as reducing erosion, improving air and water quality, reducing the energy usage of buildings. They may also design botanical gardens or own a landscaping business.</p>
                  
                  <h3 id=""hyperdensity"">Hyperdensity</h3>
                  <p>Density sufficient to support intensive public transportation systems; typically regarded as 75 dwelling units per hectare or 30 units per acre.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""i"">I</h2>
                  
                  <h3 id=""iconic-architecture"">Iconic architecture</h3>
                  <p>Refers to buildings and spaces that have achieved international recognition and fame; often they also have  special symbolic/aesthetic significance.</p>
                  
                  <h3 id=""industrial-design--product-design"">Industrial Design / Product Design</h3>
                  <p>Industrial design professionals create functional and desirable products for users that are optimised for efficient manufacture. These products are as diverse as consumer electronics, transportation and kitchen appliances. Increasingly, Industrial Designers are working in multidisciplinary teams in service design, entertainment design and strategic design.</p>
                  
                  <h3 id=""interior-architecture"">Interior Architecture</h3>
                  <p>A profession that combines the study and practice of interior design with architecture. It explores how the interiors of buildings such as office blocks, houses, hospitals and galleries are inhabited, used and experienced.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""j"">J</h2>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""k"">K</h2>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""l"">L</h2>
                  
                  <h3 id=""landscape-architecture"">Landscape Architecture</h3>
                  <p>Landscape architecture involves the spatial reorganisation of outdoor places to meet human needs and desires while protecting or enhancing natural environments and processes. Landscape architects aim to create places that meet social, environmental, cultural, aesthetic and practical requirements (Dee 2001, p.1).</p>
                  
                  <h3 id=""laser-cutter"">Laser cutter</h3>
                  <p>A device that uses laser technology to cut materials. It is typically used for industrial manufacturing applications. Laser cutting works by directing the output of a high-power laser most commonly through optics.</p>
                  
                  <h3 id=""liveable"">Liveable</h3>
                  <p>Liveable encompasses all the aspects that add up to the quality of life of a place, including its economy, amenity, environmental sustainability, health and wellbeing, equity, education and learning, and leadership.</p>
                  
                  <h3 id=""living-wall--green-wall--vertical-garden"">Living wall / green wall / vertical garden</h3>
                  <p>A living or green wall is comprised of plants grown in supported vertical systems that are generally attached to an internal or external wall, although in some cases can be freestanding. Like many green roofs, green walls incorporate vegetation, growing medium, irrigation and drainage into a single system.</p>
                  
                  <h3 id=""local-environment-plan-lep"">Local Environment Plan (LEP)</h3>
                  <p>The principal legal document for controlling development of land at the local government level in NSW, Australia.</p>
                  
                  <h3 id=""lord-mayor"">Lord Mayor</h3>
                  <p>The Right Honourable Lord Mayor is the honorific title of the head of an Australian Local Government Council.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""m"">M</h2>
                  
                  <h3 id=""mixed-use"">Mixed use</h3>
                  <p>Mixed use development refers to a mix of activities within a geographic location. An example of this would be residential apartments located above retail outlets, neighbouring an office block. (Mead Dodson, &amp; Ellway, 2006)</p>
                  
                  <h3 id=""model-or-prototype"">Model or Prototype</h3>
                  <p>Model or prototypes are made during the design process to assess aspects of a design prior to its production. Usually physical objects, but may take other forms, including on-screen or computer simulation. The terms physical prototype and model can used interchangeably.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""n"">N</h2>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""o"">O</h2>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""p"">P</h2>
                  
                  <h3 id=""passive-solar-design"">Passive solar design</h3>
                  <p>Passive solar design refers to the use of the sun&#8217;s energy for the heating and cooling of living spaces. In this approach, the building itself or some element of it takes advantage of natural energy characteristics in materials and air created by exposure to the sun.</p>
                  
                  <h3 id=""property-development"">Property development</h3>
                  <p>Property development is a profession whose sole business is to develop a property, market the property and if possible manage the property. It differs from a construction company whose sole business is to take over a piece of land from a client, put up a facility on it, and hand over the completed facility back to the client.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""q"">Q</h2>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""r"">R</h2>
                  
                  <h3 id=""remediation"">Remediation</h3>
                  <p>The act or process of remedying something that is undesirable or deficient, especially the reversal or stopping of damage to the environment.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""s"">S</h2>
                  
                  <h3 id=""scale"">Scale</h3>
                  <p>A ratio of size to allow documentation of designs that are too large or small to be documented effectively at true size. For example a chair may be drawn at 1:5 scale (one fifth of full size). A scale may also refer to a ruler with graduations to easily measure scaled drawings, but this is more common in architecture.</p>
                  
                  <h3 id=""site-plan"">Site plan</h3>
                  <p>The plan showing property boundaries and dimensions, major buildings and features such as drive ways, name(s) of street frontage(s), the direction of North, and existing and/or proposed landscape features such as vegetation and topography.</p>
                  
                  <h3 id=""slip-casting"">Slip casting</h3>
                  <p>The manufacture of ceramic ware by allowing slip to solidify in a mould.</p>
                  
                  <h3 id=""space-planning"">Space planning</h3>
                  <p>The design of the interior of a building for efficient space management that meet the needs of the occupant. In space planning, the design professional blocks out interior spatial areas, defines circulation patterns, and develops plans and layouts for furniture and equipment placement.</p>
                  
                  <h3 id=""starchitect"">Starchitect</h3>
                  <p>An architect whose celebrity and critical acclaim have transformed them into idols of the architecture world and may even have given them some degree of fame amongst the general public.</p>
                  
                  <h3 id=""state-significant"">State significant</h3>
                  <p>Types of development which are deemed to have state significance due to the size, economic value or potential impacts that a development may have.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""t"">T</h2>
                  
                  <h3 id=""trigeneration"">Trigeneration</h3>
                  <p>Trigeneration is referred to as combined cooling, heat and power (CCHP). This process simultaneously generates electricity, heating and cooling for usable consumption from the combustion of a fuel (typically natural gas) or a solar heat collector. Trigeneration is an improvement of cogeneration systems that generate electricity and heating.</p>
                  
                  <h3 id=""triple-bottom-line-tbl"">Triple bottom line (TBL)</h3>
                  <p>The triple bottom line (TBL) is an accounting framework that incorporates three dimensions of performance: social, environmental and financial. This differs from traditional reporting frameworks as it includes ecological (or environmental) and social measures that can be difficult to assign appropriate means of measurement. The TBL dimensions are also commonly called the three Ps: people, planet and profits.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""u"">U</h2>
                  
                  <h3 id=""ubiquitous"">Ubiquitous</h3>
                  <p>Existing or being everywhere, especially at the same time.</p>
                  
                  <h3 id=""urban"">Urban</h3>
                  <p>Settlements are usually designated as urban once they have grown large enough to support industries which are not rural in nature. No common figure can be put on the size of an urban area as settlements function differently in different areas due to local circumstances.</p>
                  
                  <p>However, in Australia, census districts which have a population density of 200 or more persons per square kilometre are classified as urban.</p>
                  
                  <h3 id=""urban-design"">Urban Design</h3>
                  <p>The process of giving form, shape, and character to groups of buildings, to whole neighbourhoods, and the city. It is a framework that orders the elements into a network of streets, squares, and blocks.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""v"">V</h2>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""w"">W</h2>
                  
                  <h3 id=""walkability"">Walkability</h3>
                  <p>Walkability is a measure of how accessible and easy an area is for walking. It is generally calculated as a composite of factors which includes at least net residential density, street connectivity and land use mix.</p>
                  
                  <h3 id=""wayfinding"">Wayfinding</h3>
                  <p>Wayfinding refers to information systems that guide people through a physical environment and enhance their understanding and experience of the space. It is particularly important in complex built environments where effective wayfinding systems contribute to a sense of well-being, safety, and security.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""x"">X</h2>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""y"">Y</h2>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""z"">Z</h2>
                  
                  <h3 id=""zoning"">Zoning</h3>
                  <p>Zoning, the regulation of the use of real property by local government, restricts a particular territory to residential, commercial, industrial, or other uses. The local governing body considers the character of the property as well as its fitness for particular uses. It must enact the regulations in accordance with a well-considered and comprehensive plan intended to avoid Arbitrary exercise of government power.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <br/>
                  <a href=""#glossary-end"">jump to bottom </a></p>
                  
                  <hr/>
                  
                  <h2 id=""numbers"">numbers</h2>
                  
                  <h3 id=""d-printing"">3D printing</h3>
                  <p>3D printing or additive manufacturing is a process of making three dimensional objects from a digital file. The creation of a 3D printed product is achieved using additive processes whereby an object is created by laying down successive layers of material. An advantage of the process is that complex three-dimensional forms can be created to rapid prototype a design.</p>
                  
                  <p><br/>
                  <a href=""#top"">back to top</a>
                  <a id=""glossary-end""/></p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
