"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","What will you learn in this course?","Article","","","Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/56777","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    What will you learn in this course?
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/remaking-nature/1/steps/56777/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">235 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.2","Meet the team","Video","04:05",245,"Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/41951","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6075071/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6075071/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.3","Planet in crisis","Discussion","","","Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/56776","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Let&#8217;s get started! In this course we&#8217;ll be asking you to take an active role in your own learning &#8212; to investigate some issues that concern you, to go out into the world and make observations about these issues, to discuss your observations with others in the course, and to start testing out some creative interventions. So we start the course with a very practical activity.</p>
                  
                  <h2 id=""a-planet-in-crisis"">A planet in crisis?</h2>
                  <p>Yes, there are a lot of bad things happening out there; we read about them every day. As you&#8217;ll come to see in this course, environmental issues sit at the nexus of science, culture, society and human value systems. Issues like climate change, biodiversity loss and pollution have a wide range of causes and effects and generate diverse opinions and attitudes. So how do we start to identify and untangle these different influences?</p>
                  
                  <p>This activity involves evaluating information about environmental issues as reported in the popular news media. The news articles will help you build familiarity with these issues and also enable us to have discussions about the entanglements between science and humanities, facts and values, in each of these cases.</p>
                  
                  <p>The main thing we hope you take away from this activity is a newfound sensitivity to all the complex interacting factors at play in different environmental situations.</p>
                  
                  <blockquote>
                    <p><strong>Step 1:</strong></p>
                  
                    <p>Pick out one of these popular news articles that sounds interesting to you:</p>
                  
                    <p>Climate change:
                  <a href=""http://www.theguardian.com/environment/true-north/2015/dec/07/indigenous-activists-take-to-seine-river-to-protest-axing-of-rights-from-paris-climate-pact"">Indigenous activists take to Seine river to protest axing of rights from Paris climate pact</a></p>
                  
                    <p>Ozone:
                  <a href=""http://www.scmp.com/news/hong-kong/health-environment/article/1801864/ozone-pollution-remains-top-challenge-science"">Ozone pollution remains top challenge for science</a></p>
                  
                    <p>Species Extinction:
                  <a href=""http://tribune.com.pk/story/1022197/japan-sushi-boss-pays-117000-for-endangered-tuna/"">Japan sushi boss pays $117,000 for endangered tuna</a></p>
                  
                    <p>Pollution:
                  <a href=""http://www.radionz.co.nz/news/regional/293731/momentum-grows-for-microbead-ban"">Momentum grows for microbead ban</a></p>
                  </blockquote>
                  
                  <blockquote>
                    <p><strong>Step 2:</strong></p>
                  
                    <p>Take a look at your article, but don&#8217;t panic! Slow down and take a more analytical attitude. As you read, ask yourself the following questions:</p>
                  
                    <ul>
                      <li>Who are the stakeholders &#8212; i.e., the different entities with an interest or concern in the issue?</li>
                      <li>What kinds of knowledge are being drawn upon (for example, scientific, legal, aesthetic, cultural&#8230;)?</li>
                      <li>How do you see scientific facts and human value systems interacting in this situation?</li>
                    </ul>
                  
                    <p>Take some time to critically reflect on all the different forces at play in your article.</p>
                  </blockquote>
                  
                  <blockquote>
                    <p><strong>Step 3:</strong></p>
                  
                    <p>Share your answers and observations in the comments for this step (make sure you mention which article you picked!).</p>
                  </blockquote>
                  
                  <p>As you&#8217;ll come to see in this course, the entanglement between facts and values, science and humanities, is at the heart of this emerging Environmental Humanities field.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.4","Matters of concern","Article","","","Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/66670","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In this article, Stephen Muecke, drawing on the work of philosopher Bruno Latour, explains the shift from &#8220;matters of fact&#8221; to &#8220;matters of concern&#8221; as an important step in taking action to counter ecological crises.</p>
                  
                  <p>As a first approximation, we suggested that the Environmental Humanities can do what the sciences can&#8217;t do, what they leave to one side.</p>
                  
                  <p>If we assume that the work of the sciences is to generate reliable data (and that&#8217;s a bit of an assumption), then the work of the Environmental Humanities is to investigate the relation of facts to values. We take the view that no fact is born without a set of values attached, and that the separation of facts from values is an artificial separation.</p>
                  
                  <p>Nature is a work in progress. And so too are living things, like humans, who have evolved on Earth from single-celled organisms to what we are now and to the fantastic creatures we might become in billions of years when the sun, the source of all our energy, finally begins to cool.</p>
                  
                  <p>As we will explore further in Week 2, there was something quite artificial in the way that modern Europeans separated nature off from human society and made it the domain of science. In this domain, objects could be stabilised, as science ruled over the laws of nature.</p>
                  
                  <p>Nature was <em>over there</em> to be exploited. Technology multiplied the effects of energy, in the form of extracted carbon, to build new ways of living on Earth, mainly in vast cities. We thought our distance from nature meant it would not react to our industrial activities &#8212; that exploitation would come for free, so to speak. But now we see nature reacting in all sorts of relatively unpredictable ways.</p>
                  
                  <p>The passage from knowing the facts about nature to efficient extraction of energy comes with greater costs than we thought. One cost is the imperative to change the concepts and the stories we tell as we rebuild our relationship with our planetary home.</p>
                  
                  <p>In the mid-twentieth century, scientists&#8217; excitement over their capacity to split the atom came with an attitude of disinterestedness, even as nuclear bombs destroyed Hiroshima and Nagasaki: <em>we just deal with the technical side of things &#8212; others can deal with the moral consequences</em>. Since then the story has changed; more people, perhaps most, accept that facts and values are always entangled. If we accept that entanglement, then the new story we tell about nature is not about its pure scientific facts, as if they are &#8220;just there&#8221;, but that facts come into being for reasons like curiosity, need, concern and necessity: human emotions and needs! It is the normal state of affairs for facts and values to be entangled, and we can&#8217;t necessarily prioritise the one over the other.</p>
                  
                  <p>&#8220;Matters of fact&#8221; are also &#8220;matters of concern&#8221; <sup><a href=""#references"">[1]</a></sup>. What one can do is rank matters of concern in order of importance.  Some sort of collective, like a parliament, has the job of doing just that: is it more important to build speed bumps throughout the city (because we are concerned about road safety), or to make the penalties for drink driving harsher? Will a concern for an endangered species override the desire to lease the native forests for logging? The ranking of such problems, which might involve incorporating the &#8220;point of view&#8221; of endangered species in the discussion, is not just a problem for sciences and facts: humanities expertise needs to be on the team as well.</p>
                  
                  <h2 id=""references"">References</h2>
                  <ol>
                    <li>Bruno Latour, &#8220;<a href=""http://www.bruno-latour.fr/node/165"">Why Has Critique Run Out of Steam?: From Matters of Fact to Matters of Concern</a>,&#8221; <em>Critical Inquiry</em> 30, no. 2 (2004): 225-48.</li>
                  </ol>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.5","Introduction to Environmental Humanities","Video","03:13",193,"Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/57345","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6075097/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6075097/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.6","Living with parasites","Article","","","Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/28346","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>To get an appreciation for the complex interconnections between culture, society and environment in a real EH research situation, read the following article by Eben Kirksey:</p>
                  
                  <blockquote>
                    <p>Eben Kirksey,  &#8220;<a href=""http://environmentalhumanities.org/arch/vol1/EH1.3.pdf"">Living With Parasites in Palo Verde National Park</a>,&#8221; <em>Environmental Humanities</em> 1 (2012): 23-55.</p>
                  </blockquote>
                  
                  <p>Pages 40-44 are particularly illustrative of Eben&#8217;s project.</p>
                  
                  <p>Eben&#8217;s journey to understand the many different stakeholders and forces at play in Palo Verde National Park is a great example of the method Stephen explained in the previous step: &#8220;starting in the middle of actual experiences, observing what is going on then moving outwards to connect it to the kinds of knowledge that will help make sense of the situation.&#8221; The article also illustrates the complex entanglements of culture, society and environment and hits on some key themes that are central to Environmental Humanities, and this course. Many of the terms and ideas from Eben&#8217;s article will resurface in later weeks.</p>
                  
                  <p>In the article, Eben observes that:</p>
                  
                  <blockquote>
                    <p>Creatures, like the fringe-toed foam frog, that refuse to participate in anthropocentric collectives are living figures of post-human hopes. Living and dying in zones of abandonment, these organisms are in an epistemological space beyond the reach of scientific measurement and direct biopolitical regulation. Even as aspiring scientists earnestly worked to democratically speak for nature, struggling to build stable speech prosthetics for a multitude of unloved critters, I found constant evidence of constitutive outsiders. I discovered species that were ever elusive, unloved others who were unrepresented in realms of human discourse. (Kirksey 2012, 48)</p>
                  </blockquote>
                  
                  <p>One of the concepts Eben&#8217;s article brings forward is the concept of &#8220;reinstituting the collective&#8221;. When you start observing a particular situation, you might feel a bit lonesome, stuck out on your own (the Master of all that you survey!). But then perhaps you realise that you can&#8217;t make notes without your notebook, or camera, and you need a few concepts to work with, not to mention language&#8230;so you are not just working on your own, you are quite a few. You may also start to change your ideas based on conversations with your peers.</p>
                  
                  <p>Because of a problem in the environment you may make new friends and connections, including with other beings, <em>and things may leap out demanding attention</em>. You can familiarise yourself with them by observing and writing about them. They become part of the collective that needs to be taken into account in the analysis. It&#8217;s like the guy who invented speed humps to slow down cars; in this case, the observation that school children needed greater safety led to children becoming part of the collective, so speed humps were added.</p>
                  
                  <blockquote>
                    <p><strong>Discussion</strong></p>
                  
                    <ul>
                      <li>
                        <p>What are the key parasites figuring into this story?</p>
                      </li>
                      <li>
                        <p>What for you is the main point of Eben&#8217;s article?</p>
                      </li>
                      <li>
                        <p>Do you think Eben&#8217;s approach is consistent with the key propositions of the Environmental Humanities?</p>
                      </li>
                      <li>
                        <p>How might we rethink our relations with other species via the concept of the parasite evoked in this article?</p>
                      </li>
                    </ul>
                  </blockquote>
                  
                  <p>An updated and revised version of &#8220;Living with Parasites&#8221; has just been published in <a href=""http://www.amazon.com/Emergent-Ecologies-Eben-Kirksey/dp/0822360357"">Emergent Ecologies</a>, a new book with Duke University Press.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.7","Speed bump","Video","02:13",133,"Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/57374","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6075117/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6075117/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.8","Remaking nature","Audio","","","Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/67706","[<div class=""audio-container"" data-vzaar-audio-id=""6057718"">
                  <audio id=""audio-6057718"" class=""video-js video-js-audio-player vjs-futurelearn-skin"" controls=""controls"" preload=""none""><source src=""//view.vzaar.com/6057718/video"" type=""audio/mpeg""/></audio>
                </div>
                ]"
"1.9","Poll: how do you understand nature?","Exercise","","","Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/62769","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In the upcoming steps and weeks, we will start to undertake the important business of &#8220;remaking&#8221; nature &#8212; which will involve challenging many of our present understandings.</p>
                  
                  <p>This poll asks questions about the way you currently understand the world. Please take the poll only once. There are no &#8220;right&#8221; and &#8220;wrong&#8221; answers. If you aren&#8217;t sure of an answer, just choose the response that most closely matches your views.</p>
                  
                  <p>At the end of the poll, you will be able to see how your fellow learners answered.</p>
                  
                  <p>Click &#8216;Launch&#8217; to take part in the poll.</p>
                  
                  <blockquote>
                    <p><strong>Discussion:</strong></p>
                  
                    <p>How did your answers compare to those of other learners?</p>
                  </blockquote>
                  
                  <p>If you are one of the first to take the poll, you might want to revisit the <a href=""http://j.mp/RemakingNaturePoll"">class results</a> later in the week. In Week 3, we&#8217;ll revisit your answers and have a more detailed discussion about the different answer choices.</p>
                </div>
                ]"
"1.10","Summary and discussion of Week 1","Discussion","","","Week 1","2016-01-11","11 Jan","Week 1: What is Environmental Humanities?","https://www.futurelearn.com/courses/remaking-nature/1/steps/41957","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>This week we laid the groundwork for this course, providing a broad overview of Environmental Humanities (EH) and introducing you to some key ideas in the EH field:</p>
                  
                  <ul>
                    <li>Facts are interwoven with values.</li>
                    <li>Environmental challenges are wrapped up in &#8220;matters of concern.&#8221;</li>
                    <li>The humanities can aid in remaking our ideas about environmental concerns.</li>
                    <li>&#8220;Reinstituting the collective&#8221; is an ongoing process for EH researchers.</li>
                    <li>The more-than-human environment can aid in remaking our ideas about humanity and &#8220;nature.&#8221;</li>
                    <li>Humans are interwoven with environments.</li>
                  </ul>
                  
                  <p>If you&#8217;re hungry for more, we list some optional further reading in the next step.</p>
                  
                  <p>Next week we will look at how the concept of nature developed in the West and discuss the urgent need to &#8220;remake&#8221; our contemporary ideas about nature.</p>
                  
                  <blockquote>
                    <p><strong>Discussion:</strong></p>
                  
                    <p>We enjoyed putting this week together and are keen to hear feedback so that we can improve the course:</p>
                  
                    <ul>
                      <li>
                        <p>What would you like to see more of/less of?</p>
                      </li>
                      <li>
                        <p>How does what we have discussed relate to your own interests and experiences?</p>
                      </li>
                    </ul>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
