"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","Welcome message","Article","","","Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109638","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Welcome message
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/thinking-through-disability/2/steps/109638/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">88 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"1.2","Making my course","Article","","","Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109639","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Now that you know what topics we will cover, let&#8217;s go into a little more detail about the different ways you can choose to engage with this course.</p>
                  
                  <h3 id=""accessing-course-content"">Accessing course content</h3>
                  
                  <p>There are several ways to access the course content, and we encourage you to use whatever modes of content work best for you.</p>
                  
                  <p>We provide:</p>
                  
                  <blockquote>
                    <ul>
                      <li><strong>interactive video transcripts</strong> (expandable on the page)</li>
                      <li><strong>closed captions</strong> (enabled through the video player)</li>
                      <li><strong>pdf transcripts for media</strong> (downloadable from the bottom of each step)</li>
                      <li><strong>mp4 downloads for most videos</strong> (available below the video player)</li>
                      <li><strong>mp3 audio files for all media</strong> (available at the bottom of each step)</li>
                      <li><strong>audio descriptions for some videos</strong> (accessible from the bottom of these steps)</li>
                    </ul>
                  </blockquote>
                  
                  <p>Enrolled participants will be able to access the course even after it has officially ended. Many of you may choose to follow along with us week by week, but don&#8217;t worry if you fall behind. We encourage you to complete the course over whatever time period works best for you.</p>
                  
                  <h3 id=""navigating-the-course"">Navigating the course</h3>
                  
                  <p>There are sections in each week of the course labelled &#8220;basics&#8221;, &#8220;expanding your interests&#8221; and &#8220;extending your knowledge&#8221;.</p>
                  
                  <p><strong>Basics</strong> steps are those we consider <strong>foundational</strong> for understanding and thinking through disability. These steps include a wide variety of activities, readings and discussions.</p>
                  
                  <p><strong>Expanding your interests</strong> steps are about increasing the <strong>breadth</strong> of your awareness. Activities in these steps focus on personal reflection and discussing your ideas with others.</p>
                  
                  <p><strong>Extending your knowledge</strong> steps go into greater <strong>depth</strong> about some of the concepts, theories and methods that can help you to think more critically about disability.</p>
                  
                  <p>Many of you may choose to move through the course step-by-step, in a linear sequence. But feel free to choose your own pathway through the course based on your own personal interests. For example, you might want to skip over the extending your knowledge steps entirely!</p>
                  
                  <p><strong>IMPORTANT: Expanding your interests</strong> and <strong>Extending your knowledge</strong> steps appear towards the end of each week. Sometimes we will give you the option to jump ahead to one of these steps, as it expands on or extends the ideas of the step you have just done. If you do decide to skip ahead, make sure you backtrack to finish all the steps you might have missed, by following the &#8220;Back to basics&#8221; links. You can mark each step as &#8220;complete&#8221; to help you keep track of which steps you have done.</p>
                  
                  <h3 id=""prove-what-youve-learned-with-a-certificate"">Prove what you&#8217;ve learned with a certificate</h3>
                  
                  <p>If you want a record of your course, you can buy a <a href=""/courses/thinking-through-disability/2/certificate-of-achievement"">Certificate of Achievement from FutureLearn</a>.</p>
                  
                  <p>The Certificate of Achievement is a great way to prove what you have learned on the course and as evidence of your Continuing Professional Development. This is a personalised certificate and transcript, detailing the syllabus and learning outcomes from the course. It comes as a printed certificate as well as a digital version which you can add to your LinkedIn profile. To qualify for a Certificate of Achievement for this course, you must have marked at least 90% of the steps in the course as complete.</p>
                  
                  <p>There is also the option to purchase a personalised <a href=""/courses/thinking-through-disability/2/statement-of-participation"">Statement of Participation</a>, to celebrate taking part. To be eligible for the Statement of Participation, you must mark at least 50% of the steps on the course as complete. This also comes in a printed and digital format and you can add it to your LinkedIn profile.</p>
                  
                  <h3 id=""making-sense-of-your-options"">Making sense of your options</h3>
                  
                  <p>To help make sense of all these options, here are some examples of how different people might choose to engage with the course:</p>
                  
                  <blockquote>
                    <ul>
                      <li>
                        <p><strong>Glenda commutes to her full-time job on the train. She wants to get a broad overview of disability. She has a son with a disability and is really interested in understanding how disability plays out across the life course.</strong> Glenda decides to take the course on her mobile phone during her commute. She reads the video transcripts and tries to get through at least the <strong>basics</strong> steps in most weeks of the course. In <em>Week 4: Disability across the life course</em>, Glenda makes sure to complete the <strong>expanding your interests</strong> steps too.</p>
                      </li>
                      <li>
                        <p><strong>Rodrigo is a father studying full time to become a disability researcher and wants to get a more critical perspective on disability studies.</strong> Rodrigo downloads the audio files to his playlist and listens to them as he prepares dinner. In the evenings, he works through the course, picking and choosing the steps that sound most interesting, but spending most of his time on the  <strong>extending your knowledge</strong> steps. Rodrigo decides to purchase a Certificate of Achievement as evidence of his learning.</p>
                      </li>
                      <li>
                        <p><strong>Shani works part time. She doesn&#8217;t have an internet connection at home. She has recently gained an impairment and wants to hear stories from people with disabilities and connect with others in the course.</strong> Shani decides to spend most of her time on the <strong>basics</strong> and <strong>expand your interests</strong> steps, watching the videos at the office before work and having meaningful discussions with other learners in the course. She skims the other content, which she sometimes finds really useful, and prints out materials that she can take home with her to read.</p>
                      </li>
                    </ul>
                  </blockquote>
                  
                  <h3 id=""talking-points"">Talking points</h3>
                  
                  <p>Now take some time to reflect on your reasons for taking this course. Consider:</p>
                  
                  <blockquote>
                    <ul>
                      <li>
                        <p>What brings you to this course, and what is your previous experience with disability?</p>
                      </li>
                      <li>
                        <p>What would you like to get out of the course?</p>
                      </li>
                      <li>
                        <p>How would you like to learn in this course?</p>
                      </li>
                      <li>
                        <p>What types of activities do you think will be the most useful for your learning?</p>
                      </li>
                      <li>
                        <p>What are your learning goals?</p>
                      </li>
                    </ul>
                  </blockquote>
                  
                  <p>Click on &#8220;comments&#8221; to view and contribute to the discussion. In the next step we explore what a good life means for you.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.3","What does a good life mean for you?","Discussion","","","Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109640","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>We&#8217;ll be relating our ideas in this course to the theme of living a good life. So let&#8217;s begin by exploring what living a good life means for you.</p>
                  
                  <p>Make a list of all the phrases that immediately come to your mind when you think about living a good life. Initially, you might find that general ideas like &#8220;my family&#8221; or &#8220;my health&#8221; come to mind.</p>
                  
                  <p>Over the next few days, as you go about living your life, other things might come to mind. Maybe when you are standing under the shower you realise that just being under a stream of hot water makes you feel &#8220;alive&#8221;; or when you&#8217;re talking to a friend, you realise that talking to, listening to and being with someone you love is also part of having a good life.</p>
                  
                  <p>Now it&#8217;s time to share your thoughts on living a good life. Click on the &#8220;Join the discussion&#8221; link below to contribute to the conversation.</p>
                  
                  <p>Throughout this course we provide &#8220;Talking points&#8221;. While these prompts are useful for guiding your thinking, please don&#8217;t feel like you need to respond to them directly.</p>
                  
                  <h3 id=""talking-points"">Talking points</h3>
                  
                  <blockquote>
                    <ul>
                      <li>What are some of the things that are important for you to live a good life?</li>
                      <li>Have these things changed over time? In what ways?</li>
                    </ul>
                  </blockquote>
                  
                  <p>Some of the course team and advisory group members talked together about what we each think a good life is. When you have finished, mark this step as complete and go to the next, to see whether what matters to you overlaps with our thoughts and discussion.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.4","What a good life means for us","Video","05:17",317,"Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109641","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                  </div>
                </div>
                ]"
"1.5","Introducing your learner guide","Video","02:51",171,"Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109642","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/7021318/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/7021318/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.6","Thinking through Disability survey","Exercise","","","Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/128057","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>If you&#8217;d like to monitor the impact of this course on the way you think about disability, you can complete our Thinking Through Disability survey.</p>
                  
                  <p>The survey contains two sets of questions to help you unpack and reflect on your current ideas about disability:</p>
                  
                  <blockquote>
                    <ul>
                      <li>
                        <p><strong>First, there are two open-ended questions about your understanding of disability now.</strong> While these might be difficult to answer, we really encourage you to get into these questions, as they will probably allow you to express complex ideas about your thoughts and attitudes.</p>
                      </li>
                      <li>
                        <p><strong>Next, there is a series of questions reflecting different attitudes towards people with disabilities.</strong> These are adapted from an attitudinal survey that has been used internationally since 1966. You will notice that while these questions are thought provoking, it is often very difficult to just tick a box! You might find yourself wanting to explain your answers.</p>
                      </li>
                    </ul>
                  </blockquote>
                  
                  <p>You will have the opportunity to complete the same survey again at the end of the course, to track any changes in your thoughts about disability as a result of doing the course.</p>
                  
                  <p>We provide a link to the online survey below (click &#8216;launch&#8217;). At the end of the survey, you will receive an email with a record of your responses. There is also a pdf version of the survey in the Downloads section below, in case you prefer to print it and complete it offline.</p>
                  
                  <h3 id=""would-you-like-to-contribute-to-our-research"">Would you like to contribute to our research?</h3>
                  
                  <p>This is one of three surveys in the course. If you&#8217;re interested, you can complete these online surveys as a participant in our research study. The research will help us understand:</p>
                  
                  <blockquote>
                    <ul>
                      <li>what motivates people to do an online course on disability;</li>
                      <li>whether the course is accessible to diverse learners;</li>
                      <li>how thinking about disability changes when you do a course on disability.</li>
                    </ul>
                  </blockquote>
                  
                  <p>We will publish the research findings in a peer-reviewed journal and you&#8217;ll be able to find them on the <a href=""https://www.arts.unsw.edu.au/research/intellectual-disability-behaviour-support-program/"">UNSW Intellectual Disability Behaviour Support website</a>.</p>
                  
                  <p>When you open the online survey, you will have the option to opt in to the research. Participating in the research is entirely optional. If you choose not to participate, you will still be able to complete the online survey for your own personal benefit.</p>
                  
                  <p>More information about the research is provided in our <a href=""https://ugc.futurelearn.com/uploads/files/56/b5/56b5ccdb-f856-457a-a119-795ef524f5ee/PARTICIPATION_INFORMATION_STATEMENT_-_THINKING_THROUGH_DISABILITY-02.pdf"">Participant Information Statement</a>.</p>
                  
                  <p><strong>To start the online survey, click the &#8220;launch&#8221; button below.</strong></p>
                  
                  <p><em><strong>IMPORTANT:</strong> Some learners have reported problems loading the survey. We apologise for the inconvenience and are currently investigating this issue. It may help to wait for the page to load, or try launching the survey again.</em></p>
                  
                  <h3 id=""next-steps"">Next steps</h3>
                  
                  <p>In Week 2 of the course, we will be investigating what it means to count and measure disability. As we&#8217;ve been discussing this week, attitudes are a big part of how people are disabled. It would be a good introduction for next week to think about this survey as an example of the difficulties in counting and measuring disability.</p>
                  
                  <p>For example, we adapted some of our survey questions from a 1966 survey. While this enables us to examine how the attitudes of learners in this course compare to those in other places and at other times, you may have noticed that these questions also have some real limitations. You might like to consider, for example, who is assumed to be the audience or participant in the attitudinal survey questions, and who is excluded.</p>
                  
                  <p>In the next steps we discuss some common stereotypes and attitudes towards people with disabilities.</p>
                </div>
                ]"
"1.7","""I'm not your inspiration""","Article","","","Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109644","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Ideas about disability &#8212; that being disabled is a tragedy, that disabled people are very brave, that it is shameful to be disabled, that it represents bad luck &#8212; often become so commonplace and seemingly &#8220;obvious&#8217;&#8217; that they don&#8217;t get thought about.</p>
                  
                  <p>We ask you to critically explore some of these attitudes and assumptions by listening to what people with disabilities have to say. Watch the TED talk by the late Australian comedian and disability activist Stella Young. It is called &#8220;I&#8217;m not your inspiration, thank you very much&#8221;. Note down her key points, and any of your own comments.</p>
                  
                  <h3 id=""watch-the-video-on-tedcom"">Watch the video on ted.com</h3>
                  
                  <blockquote>
                    <p>Stella Young: &#8220;<a href=""http://www.ted.com/talks/stella_young_i_m_not_your_inspiration_thank_you_very_much?language=en"">I&#8217;m not your inspiration thank you very much</a>&#8221;</p>
                  </blockquote>
                  
                  <p>The TED talk has an interactive transcript in multiple languages.</p>
                  
                  <h3 id=""talking-points"">Talking points</h3>
                  
                  <blockquote>
                    <ul>
                      <li>What are some of Stella Young&#8217;s key points?</li>
                      <li>Do you agree with her message?</li>
                    </ul>
                  </blockquote>
                  
                  <p>When you have watched Stella Young&#8217;s TED talk and made your own notes, check out the feedback video in the See Also section below to hear what two of our Educators, Jos and Karen, had to say about it.</p>
                  
                  <p><strong>Expand your interests</strong> &#8212; We consider how Stella Young&#8217;s talk relates to global attitudes towards disability in <a href=""https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109652"">Step 1.11: Global attitudes towards disability</a>. You can skip ahead to this step now, or wait to see it later in the week. If you do skip ahead, make sure you backtrack to complete the steps you have skipped! Marking this step as complete will help you keep track of what you have done.</p>
                  
                  <p>In the next step, we hear from some guest speakers about their experiences of disabling attitudes.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.8","Listening to people with disabilities","Video","03:04",184,"Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109645","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6977240/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6977240/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.9","Models of disability","Article","","","Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109646","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In this step we introduce two different ways of thinking about disability &#8212; the medical model and the social model. If you already know these models well, you can skip ahead to the next section.</p>
                  
                  <p>Prior to the 1970s, particularly in the English-speaking world, the prevailing view was that individuals with impairments needed to be &#8220;fixed&#8221; (if possible) through medical intervention. This view is sometimes called the <strong>medical model</strong> of disability.</p>
                  
                  <p>In the 1970s and 1980s, activists and scholars started questioning the assumptions of the medical model. They argued instead for a <strong>&#8220;social model&#8221;</strong> of disability, where disability is seen to arise as a result of physical, organisational and attitudinal barriers in society. Importantly, the social model of disability also made a divide between two different concepts &#8212; impairment and disability.</p>
                  
                  <p>In the next step, you will hear Eric Emerson describe his viewpoint on the differences between impairment and disability.</p>
                  
                  <p>We will refer to the social and medical models throughout this course. We unpack these ideas a bit more in the next few steps, and the <a href=""https://ugc.futurelearn.com/uploads/files/9d/da/9ddaee95-7809-4f45-a889-e74d0ad46f1f/Glossary_21_October_2016.pdf"">glossary</a> also has explanations of these core concepts.</p>
                  
                  <blockquote>
                    <p><strong>Optional activity:</strong></p>
                  
                    <p><a href=""https://www.youtube.com/watch?v=0e24rfTZ2CQ"">Watch this video from Scope UK</a>, where various people discuss their thoughts about the social model of disability.</p>
                  </blockquote>
                  
                  <p>Captions for the Scope video, as well as an interactive transcript, are provided in Youtube. (To access the interactive transcript, click on &#8220;More&#8221; below the video, then on &#8220;Transcript&#8221;).</p>
                  
                  <p><strong>Expand your interests</strong> &#8212; In <a href=""/courses/thinking-through-disability/2/steps/109653"">Step 1.12: How useful are the social and medical models?</a>, we explore how useful the medical and social models are for thinking through disability.</p>
                  
                  <p><strong>Extend your knowledge</strong> &#8212; In <a href=""/courses/thinking-through-disability/2/steps/109655"">Step 1.14: Examining life</a>, we take a look at how the social model fits with some of the lived experiences of disability.</p>
                  
                  <p>You can skip ahead to these steps now, or wait to see them later in the week.</p>
                  
                  <p>In the next step, we look at the difference between impairment and disability.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.10","The difference between impairment and disability","Video","01:33",93,"Week 1","2016-10-24","24 Oct","Week 1: Understanding disabling attitudes","https://www.futurelearn.com/courses/thinking-through-disability/2/steps/109647","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/7021327/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/7021327/download/hd"">HD</a>
                  </div>
                </div>
                ]"
