"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.1","The ideas behind the course","Video","01:52",112,"Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/78619","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6720065/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6720065/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.2","The flow of the course","Video","04:44",284,"Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/79939","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6720073/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6720073/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.3","It’s all in ‘the vibe’","Discussion","","","Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/72806","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>60 years of classic textbooks defined the traditional Engineering Mechanics course. They decided what should be in them and how to teach it. They still do.</p>
                  
                  <p>Online courses like this offer new ways of presenting Engineering Mechanics, and we&#8217;ve freed ourselves from the traditional course structure. So as well as Engineering Mechanics we have guest appearances from material science, mechanics of solids, and fluid mechanics - whatever is needed for supporting design activities, and for developing Engineers&#8217; Eyes.
                  Engineering Mechanics is based on mathematics. It&#8217;s an essential part of its magic. But we&#8217;ll keep the mathematics simple. You&#8217;ll need basic algebra and trigonometry. There is no calculus.</p>
                  
                  <p>We&#8217;ll live in the moment. But you can also use this course to prepare for future formal courses, or review what you have learnt in the past.</p>
                  
                  <p>The full suite of activities would take up to four hours a week, for seven weeks. But you can pick and choose which parts you would like to do.</p>
                  
                  <p><strong>In this activity, we would like to know about your reactions so far. For example: what segments appeal to you and why; what do you want to get from this course?</strong></p>
                  
                  <p>Please post your responses in the discussion below.  You can Like and reply to comments posted by others and follow other like-minded learners you spot. This will make it easy for you to see their comments on future steps by filtering the discussion.</p>
                </div>
                ]"
"1.4","Check your understanding","Quiz","","","Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/69930","[]"
"1.5","Experiments: static and dynamic loads","Video","06:55",415,"Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/79940","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6720162/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6720162/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.6","What did you notice?","Discussion","","","Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/72807","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Did you see how we split Engineering Mechanics into &#8216;Statics&#8217; and &#8216;Dynamics&#8217;. Textbooks generally come in two separate volumes, one for each.</p>
                  
                  <p>There are those who say that it&#8217;s all Dynamics really, and what we call statics is just Dynamics where the accelerations are all zero. But we think Statics and Dynamics are different enough to justify the split.</p>
                  
                  <p>But are Statics and Dynamics so clearly differentiated from one another?</p>
                  
                  <p>There are situations where accelerations definitely exist, but where we can ignore them for all practical purposes. As an extreme example, there are accelerations when the bands creep, but these miniscule accelerations don&#8217;t affect the forces significantly. This is what you might call quasi-static, that is, we know there are accelerations but we can still treat the situation as though it were static.</p>
                  
                  <p>If you attempted the experiment, remember to take a photo and upload it to our <a href=""http://padlet.com/ThroughEngineersEyes/Week1Experiment"" title=""Through Engineers' Eyes Padlet wall"">Through Engineers&#8217; Eyes Padlet wall</a>. You can include a link to your photo in the discussion for this step (click on your post on the Padlet wall and then copy the web address).</p>
                  
                  <p>Did you work out why a chain of bands produces a larger deflection than a single band?
                  What else did you notice?</p>
                  
                  <p>Did you try any of the experiments yourself? We&#8217;d like to know which, if any, you got your hands on. If you did do some, what did you find? What would you recommend your colleagues to do?</p>
                  
                  <p>By now you will have seen how simple experiments can give you insights. After all, physical reality is physical reality, however you look at it. But is it worth the effort of doing the experiments yourself?</p>
                </div>
                ]"
"1.7","Check your understanding","Quiz","","","Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/69931","[]"
"1.8","Analysis: static and dynamic loads","Video","04:15",255,"Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/79941","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6720177/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6720177/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.9","Retro tutorial #1","Article","","","Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/70070","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>There&#8217;s no better way to consolidate learning in Engineering Mechanics than quietly working through problems using pencil and paper (that&#8217;s why we call this a &#8216;Retro Tutorial&#8217;). It can be satisfying too.</p>
                  
                  <p>&#8216;Retro&#8217; means a modern version of an older style, like a modern car based on a classic from a past era. Tutorial means questions for you to practise your new skills on. You will do them on paper with a pencil and a scientific calculator.</p>
                  
                  <p>This tutorial is mainly about springs. If you do all the questions it might take <strong>45 minutes</strong>.</p>
                  
                  <p><strong>Download the tutorial in the Downloads section below and work through the questions.</strong>
                  It includes solutions. It&#8217;s probably best if you try the problem first before looking at the solution. We find that those who look at the solution and decide &#8220;I could have done that&#8221; are often kidding themselves.</p>
                </div>
                ]"
"1.10","Check your understanding","Quiz","","","Week 1","2016-04-18","18 Apr","Week 1: A leap of faith","https://www.futurelearn.com/courses/through-engineers-eyes/1/steps/69934","[]"
