utm_source,utm_campaign,utm_medium,utm_term,utm_content,domain,enrolments,active_learners,upgrades_purchased
None,None,None,None,None,direct/no referrer,676,229,4
None,None,None,None,None,m.facebook.com,546,85,6
None,None,None,None,None,www.facebook.com,248,65,4
None,None,None,None,None,www.futurelearn.com,176,55,0
None,None,None,None,None,www.engineering.unsw.edu.au,117,46,3
None,None,None,None,None,www.google.co.uk,114,58,1
None,None,None,None,None,lm.facebook.com,49,16,0
None,None,None,None,None,www.google.com,47,21,0
newsletter_broadcast,fl_april_2017,futurelearn_organic_email,24_04_2017_first_name_make_time_to_learn_this_week,None,direct/no referrer,37,21,1
None,None,None,None,None,www.google.co.in,24,7,0
None,None,None,None,None,www.bing.com,20,9,0
newsletter_broadcast,fl_may_2017,futurelearn_organic_email,01_05_2017_first_name_start_these_brand_new_courses_today,None,direct/no referrer,19,9,0
None,None,None,None,None,www.google.com.au,18,6,0
newsletter_broadcast,fl_april_2017,futurelearn_organic_email,10_04_2017_choose_from_90_courses_starting_in_april,None,direct/no referrer,16,8,0
newsletter_broadcast,fl_march_2017,futurelearn_organic_email,27_03_2017_10_courses_to_start_in_the_next_2_weeks,None,direct/no referrer,15,3,0
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15,5,1
None,None,None,None,None,l.facebook.com,14,2,0
courses-feed,Courses feed,courses-feed,None,None,www.class-central.com,12,5,0
None,None,None,None,None,scholarship-positions.com,11,3,0
newsletter_broadcast,fl_may_2017,futurelearn_organic_email,29_05_2017_first_name_ever_wanted_to_time_travel_this_week_you_can,None,direct/no referrer,8,3,0
newsletter_broadcast,fl_may_2017,futurelearn_organic_email,15_05_2017_check_out_these_10_brand_new_and_returning_courses,None,direct/no referrer,7,3,0
None,None,None,None,None,www.google.com.eg,7,2,0
None,None,None,None,None,outlook.live.com,7,3,0
None,None,None,None,None,com.google.android.googlequicksearchbox,7,2,0
None,None,None,None,None,com.google.android.gm,7,4,0
None,None,None,None,None,www.google.com.tr,6,2,0
newsletter_broadcast,fl_february_2017,futurelearn_organic_email,06_02_2017_choose_from_100_courses_starting_in_february,None,direct/no referrer,6,2,0
newsletter_broadcast,fl_may_2017,futurelearn_organic_email,08_05_2017_first_name_what_could_you_learn_this_week,None,direct/no referrer,6,1,0
None,None,None,None,None,about.futurelearn.com,6,3,0
courses-feed,Courses feed,courses-feed,None,None,direct/no referrer,6,3,0
None,None,None,None,None,r.search.yahoo.com,5,4,0
None,None,None,None,None,mg.mail.yahoo.com,5,0,0
None,None,None,None,None,mail.google.com,5,2,0
None,None,None,None,None,www.google.fr,5,2,0
None,None,None,None,None,www.freeeducator.com,4,2,0
None,None,None,None,None,www.google.com.mx,4,1,0
None,None,None,None,None,www.google.es,4,2,0
newsletter_broadcast,fl_april_2017,futurelearn_organic_email,24_04_2017_first_name_make_time_to_learn_this_week,None,outlook.live.com,4,1,0
None,None,None,None,None,www.google.nl,3,1,0
None,None,None,None,None,www.google.de,3,0,0
None,None,None,None,None,duckduckgo.com,3,2,0
india_google,bc_great_january_2017,cpc _paid,None,None,www.google.co.in,3,0,0
None,None,None,None,None,lookinmena.com,3,0,0
newsletter_segment,fl_april_2017,futurelearn_organic_email,19_04_2017_first_name_new_health_psychology_courses_for_you,None,direct/no referrer,3,3,0
