id,author_id,parent_id,step,week_number,step_number,text,timestamp,likes,first_reported_at,first_reported_reason,moderation_state,moderated
21364792,989fbb58-2acd-413c-894e-363f8a83ac39,,1.4,1,4,"I am trying to broaden my horizons and explore physical mechanics more. I wish to strengthen my knowledge in engineering mechanics, as I have not dealt with it much in school.",2017-04-24 01:58:15 UTC,1,,,,
21364836,2ce4b38f-b8cb-476e-b728-85a3c3acd201,,1.4,1,4,The part that is appealing for me is relating the theoretical knowledge with the experiments. ,2017-04-24 02:07:58 UTC,1,,,,
21365535,32982b8a-4e00-4566-be36-32d197fcfce8,,1.4,1,4,"I'm excited to properly be able to apply my theoretical knowledge to real-life experiments and objects. I also look forward to being able to see the world 'through engineers' eyes', as the course says.
",2017-04-24 03:27:17 UTC,2,,,,
21365792,39339bf6-a162-4d9b-bdd4-bc126c3c7e61,,1.4,1,4,I  am excited to learn how to apply the theory that I will be learning!,2017-04-24 03:56:47 UTC,1,,,,
21366591,8553908d-7193-40a9-b7c7-c8e994c34c7e,,1.4,1,4,"Vehicle Dynamics, load transfer, power requirements, so far looks good and directly transferable/verifiable  to my field of Interest. Thanks guys looks good. ",2017-04-24 05:19:05 UTC,1,,,,
21366633,72c8e840-c1cd-425a-8da6-159da76f3089,,1.2,1,2,Hi everyone I'm a student in the department of mechanical engineering and this course attracted me and when I watched the video l liked the team of educators and I wish that was an Arabic translation for better understand and good luck everyone,2017-04-24 05:22:22 UTC,1,,,,
21367049,72c8e840-c1cd-425a-8da6-159da76f3089,,1.4,1,4,"I'm excited to learn aerodynamic,theory of machines,how to design,power transfer and how to build a project using principles of physics,mechanics and mechanics of materials",2017-04-24 05:57:49 UTC,1,,,,
21367461,60a64a4a-4231-4f6d-8c5d-1de6f0699a1e,,1.4,1,4,I'm an English teacher for Chinese students majoring in engineering and so I'm especially interested in seeing what experiments and vocabulary is necessary at a beginning stage of studying engineering.,2017-04-24 06:29:27 UTC,3,,,,
21367496,5d6003bd-2a2f-49ef-a772-dda7ed1812f1,,1.4,1,4,"I'm excited about the whole course, learning new things, and being able to apply what I learn to everyday scenarios",2017-04-24 06:31:49 UTC,1,,,,
21367828,f4b91009-b1c2-4602-9344-73d454ef1d95,,1.4,1,4,Haven't done engineering in many years so I'm excited to get back into it. I'm also an animator so it'll be interesting to see the mechanics in the things i make and hopefully improve my animations,2017-04-24 06:56:22 UTC,3,,,,
21368066,f3ba4873-5b22-4d49-b8e7-f1131a2edf99,,1.4,1,4,"Hi everyone, I'm a high school teacher and I teach Design and Technology. I studied some basic Engineering at uni but I feel that my practical understanding is lacking. I'm excited to see all the practical applications of the mechanics theory. 
",2017-04-24 07:10:29 UTC,2,,,,
21368276,57d9738a-12a8-447f-9ad1-ec142df3cb2e,,1.4,1,4,I am looking forward to doing the experiments. I'm hoping I can get my head around the mathematics because its been quite some time since I have used those skills.,2017-04-24 07:22:06 UTC,1,,,,
21368776,11a328d9-76ac-49d4-8fdf-06090ef5b023,,1.4,1,4,"so far,so good... is an all round course and will help me to reflect on a similar course i took almost have a decade now... and think is a real opportunity to upgrade to current realities.",2017-04-24 07:47:37 UTC,0,,,,
21369631,40fa8fd1-c6ef-4d55-a5d3-11d41a810b44,,1.9,1,9,"Great review, shows how much I've learnt already in a matter of hours. The springs between plates in series question was interesting, an example of how maths can provide really solid proofs though!",2017-04-24 08:30:03 UTC,0,,,,
21370242,464a02e0-bb63-4b19-9450-981d32396c1e,,1.4,1,4,"For me the whole course is of interest. Although I was trained as a Mechanical Engineer I am now retired but I still retain an interest in the subject, so I am keen to refresh my knowledge and learn something new.",2017-04-24 08:56:38 UTC,0,,,,
21371016,cd118beb-8cab-4633-9cad-5d9e47b50593,,1.1,1,1,Couple of the questions a bit vague,2017-04-24 09:30:41 UTC,0,,,,
21371032,1bb3b5d5-6f26-43f5-85b7-c189ee8d22c8,,1.8,1,8,I think the theory should always be tested. The best way (if possible) is to experiment ...,2017-04-24 09:31:19 UTC,2,,,,
21371065,bd559ff8-0bde-4393-8455-60b9ada683b7,,1.4,1,4,What i want to achieve from this course is to refresh my understanding of engineering mechanics that i have forgotten or that is not so fresh in my mind because i have done it a long time ago. the most appealing parts of this course for me are the experiments because I like seeing the practical application of theoretical concepts. ,2017-04-24 09:32:53 UTC,0,,,,
21371103,cd118beb-8cab-4633-9cad-5d9e47b50593,,1.2,1,2,"Enthusiastic and engaging intro, thanks guys",2017-04-24 09:34:49 UTC,0,,,,
21371288,cd118beb-8cab-4633-9cad-5d9e47b50593,,1.3,1,3,So you've told me what your going tell me,2017-04-24 09:41:56 UTC,1,,,,
21371428,cd118beb-8cab-4633-9cad-5d9e47b50593,,1.4,1,4,"Originally trained as an electrical engineer but then went into telecommunications, ended up writing proactive repair processes and procedures for newly emerging telecoms technologies, have now retired. Spending a lot of my free time on personal fulfilment and development although i have the engineers mindset i have little experience of mechanics, looking to broaden my knowledge and skills. Love making things and solving problems, looking forward to the practical work",2017-04-24 09:47:12 UTC,0,,,,
21371622,cd118beb-8cab-4633-9cad-5d9e47b50593,,1.6,1,6,"That quiz, read the questions, they are looking for the wrong answers (what an idiot)",2017-04-24 09:55:06 UTC,0,,,,
21371933,cd118beb-8cab-4633-9cad-5d9e47b50593,,1.6,1,6,Off to empty some milk containers,2017-04-24 10:06:14 UTC,0,,,,
21372060,021e087a-71dd-4040-bdfc-45b01b512018,,1.2,1,2,Looking like a good course. ,2017-04-24 10:10:49 UTC,0,,,,
21372252,021e087a-71dd-4040-bdfc-45b01b512018,,1.3,1,3,Maybe a bit complicated as I am coming at this from a complete novice view point but looks interesting.,2017-04-24 10:17:53 UTC,3,,,,
21372298,021e087a-71dd-4040-bdfc-45b01b512018,,1.4,1,4,I dont know what expectations I have of this course as I am a complete beginner in the subject. ,2017-04-24 10:19:26 UTC,0,,,,
21372592,a331a7cb-03ec-4e65-95e7-c321dd350643,,7.7,7,7,"The best bits for me were the tutorials which strengthened my understanding of the analysis. Great course. 

I note that the tutors claim that this course presents the subject matter in a new way. I'm not sure why they claim this because this type of presentation and the integration of Mechanics  into Design was certainly the vogue in the early 1980's if not before, particularly with the distance learning stuff of the Open University in the UK. Nevertheless this course is a  well-presented and thorough treatment of the subject traditionally known as ""applied mechanics""

Thank you for all the efforts you tutors have put in especially in the tutorial sections.


",2017-04-24 10:28:55 UTC,0,,,,
21372615,021e087a-71dd-4040-bdfc-45b01b512018,,1.6,1,6,Ok. So i think I got the difference static is not moving. Dynamic is moving. The spring bounces to twice the length that it would stretch if we let it down gently,2017-04-24 10:29:41 UTC,0,,,,
21373077,e00f66c9-f54a-49a9-b85b-3189719657d3,,1.1,1,1,Doesn't seem to work on an iPad - I'll try again later when I have access to a pc!,2017-04-24 10:46:15 UTC,0,,,,
21373122,a331a7cb-03ec-4e65-95e7-c321dd350643,,2.7,2,7,small errors considering the accuracy of measuring the string angles,2017-04-24 10:47:30 UTC,0,,,,
21373350,21fba98d-a0e4-4523-bf9a-4b6eb6a95df7,,1.4,1,4,Im eager to experience this some what informal learning style and hope it keeps true to the highlighted simplicity. ,2017-04-24 10:56:01 UTC,0,,,,
21373427,a331a7cb-03ec-4e65-95e7-c321dd350643,,2.9,2,9,I don't know if its my internet connection but occasionally the page doesn't download in the interactive tutorials,2017-04-24 10:58:35 UTC,0,,,,
21373494,acad50ed-0975-4da9-ae9f-de94e24f7743,21366633,1.2,1,2,"Khaled

Google Translate
""
0: 10Skip إلى 0 دقيقة و 10 ثواني''m الجانج مفلس. وأنا روبن فورد. نحن متحمسون للميكانيكا الهندسية. كنا نظن في موك لجمهور أكبر لتبادل شغفنا. وهناك أكثر من ذلك الجانج. نحن نريد أن أعرض لكم لعالم المهندس. نريد منك أن ترى العالم من خلال عيون المهندسين. تخيل أنك طيار اختبار أخذ الطائرة الجديدة أسفل المدرج لأول مرة. كنت تريد أن تعرف مسبقا أنه سوف يطير. أو تخيل أنك ذاهب لبناء جسر. كنت تريد أن تعرف قبل أن بنيت أنه سوف البقاء حتى. عند تصميم أي شيء، كيف تعرف أن التصميم الخاص بك سوف تعمل؟ تحتاج الميكانيكا الهندسية.

0: 10
Skip 'iilaa 0 daqiqat w 10 thawany''m aljanij mafallis. wa'ana rubin fawrd. nahn mutahammisun lilmikanika alhindasiati. kunna nnazunn fi mawk lijumhur 'akbar litabadul shaghafina. wahunak 'akthar min dhlk aljanij. nahn nurid 'an 'aerad lakum liealam almuhandis. nurid mink 'ann taraa alealam min khilal euyun almuhandisin. takhayl 'annak tayar aikhtibar 'akhadh alttayirat aljadidat 'asfal almadraj li'awwal mirt. kunt turid 'an tueraf musbaqaan 'annah sawf yutir. 'aw takhil 'annak dhahib libina' jisr. kunt turid 'an tueraf qabl 'an buniat 'annah sawf albaqa' hatta. eind tasmim 'ay shay'in, kayf taerif 'ann alttasmim ............
""
Not enough characters !!",2017-04-24 11:00:54 UTC,0,,,,
21373734,acad50ed-0975-4da9-ae9f-de94e24f7743,21366633,1.2,1,2,"Khaled

I can not say how accurate the two translations are.

A back translation of the script (top) version produces accurate English -

From original English in ""View transcript"", to Arabic Script, to English translation.

There is also a loudspeaker icon, which will give a spoken version.",2017-04-24 11:10:20 UTC,2,,,,
21374161,031ecccf-42ce-4edf-bfe3-2366a87c920c,,1.8,1,8,"So far, so good.",2017-04-24 11:24:19 UTC,0,,,,
21374220,2db64305-e4a2-4e18-84ef-d3cd231421d4,,1.4,1,4,I think I will enjoy this course.  I am retired.  When I learned maths it was mainly  by rote and the relevance to everyday phenomena was not well explained.  I'm looking forward now to being able to look about me and perhaps have a better understanding of why things have to conform to certain mathematical rules and why we were taught maths in the first place!,2017-04-24 11:26:54 UTC,0,,,,
