learner_id,enrolled_at,unenrolled_at,role,fully_participated_at,purchased_statement_at,gender,country,age_range,highest_education_level,employment_status,employment_area,detected_country
7fd0bee9-3f72-4987-86eb-35f4b302046f,2017-04-23 04:04:48 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
9dc8a5b5-6883-46cb-8380-6a0cc7c57fdb,2017-02-23 21:05:30 UTC,,learner,2017-05-28 21:41:17 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
464a02e0-bb63-4b19-9450-981d32396c1e,2017-04-07 14:05:48 UTC,,learner,2017-05-15 13:23:39 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
27a4aa56-dfe2-4668-83a9-c4722945c2e6,2017-03-23 22:35:19 UTC,,learner,2017-05-15 15:33:25 UTC,,male,PL,46-55,university_masters,Unknown,health_and_social_care,PL
f147f7ba-0ae3-4a1c-a13c-17d6b16d3dfe,2017-04-22 07:52:16 UTC,,learner,2017-05-17 10:10:19 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ZA
cbdf22e0-9efd-4a48-96d8-60615f3b605a,2017-01-30 09:55:20 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PH
db132473-e741-4103-9fe4-233b7fe2cee6,2017-06-01 05:09:54 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN
6618df6c-f1bc-4740-b646-dfb777d8b67b,2017-04-28 05:37:01 UTC,,learner,2017-05-15 18:07:15 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IT
ff4d314c-a97b-4aa4-b114-13f191a9177b,2017-05-27 13:26:43 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN
0eb2a59f-2fbd-402b-9bdd-a8db62ca82f3,2017-05-18 15:40:56 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CN
06e9d39c-60ac-4ca7-9afd-f6a6ccb9dffc,2017-04-25 06:23:55 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
4b93136e-3e11-4092-9e78-8ea44a34eac1,2017-05-26 07:48:50 UTC,,learner,2017-06-03 02:42:41 UTC,,male,AU,36-45,university_degree,working_full_time,teaching_and_education,AU
9b03f079-1ccc-405f-8750-ac53f3315232,2017-04-11 07:11:35 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
7a67cf91-81a3-4e97-bbe6-e75b7384daf5,2017-06-03 11:05:37 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
88e405e3-1798-4c6a-8740-a8b850ecc43e,2017-04-10 13:22:40 UTC,,learner,2017-06-03 14:36:45 UTC,,male,US,>65,university_masters,retired,engineering_and_manufacturing,AR
9e58f0e3-0518-458a-9c1a-5d31e3ffc7ef,2017-04-24 15:09:59 UTC,2017-06-03 22:06:15 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CZ
d90c3f4a-cdcc-450b-9eb8-b69f4eba1512,2017-04-05 16:58:37 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IT
b3d08f51-673a-4832-8a7b-06f795e7e70f,2017-04-24 17:31:46 UTC,,learner,2017-05-12 18:04:08 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
a80afe17-7f5e-4dd5-837d-638d4ae8ccd2,2017-04-24 17:30:30 UTC,,learner,2017-05-12 18:04:15 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
c6c168ce-464f-4e82-817c-7f6508c41269,2017-04-24 17:29:39 UTC,,learner,2017-05-10 17:54:33 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
aebcaa30-0ed0-4cf8-a1f1-375ff3903692,2017-04-24 17:31:34 UTC,,learner,2017-05-22 17:31:35 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
dd5dcfaa-eb06-42fc-af6f-bd2f1afccb0b,2017-04-24 17:28:39 UTC,,learner,2017-05-16 14:00:03 UTC,,female,US,<18,less_than_secondary,full_time_student,Unknown,US
25117cbf-d626-40d7-a447-444651a14e04,2017-04-24 17:32:03 UTC,,learner,2017-05-16 17:32:52 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
af6f0770-8f64-41ad-a448-e0d3d68231d3,2017-04-24 17:31:38 UTC,,learner,2017-05-10 17:53:48 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
d4c203ef-1b12-48a5-9f7c-edd8dd50d682,2017-04-24 17:32:20 UTC,,learner,2017-05-12 17:51:41 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
858136f8-81bf-4fda-8740-f7f140c24f3e,2017-04-24 17:32:12 UTC,,learner,2017-05-22 17:59:35 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
dd2c431b-d51b-4804-9c86-3f968a1fee67,2017-04-24 17:31:51 UTC,,learner,2017-05-12 18:05:55 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
fd00a700-cef5-4c90-8f66-49cb65d7804a,2017-04-24 17:28:11 UTC,,learner,2017-05-16 17:33:18 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
58ad4abd-398a-4010-b482-192f3592efcb,2017-05-26 21:44:29 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,HT
